ticker,HFUS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-08,5150.0
2012-05-09,0.0
2012-05-10,0.0
2012-05-11,0.0
2012-05-14,-3.8095
2012-05-17,-20.7921
2012-05-25,0.0
2012-06-07,0.0
2012-07-03,0.0
2014-03-25,87.5
2019-09-10,-33.3333
2019-09-17,0.0
2019-09-18,20.0
2019-09-24,-16.6667
2019-09-26,80.0
2019-09-27,-16.6667
2019-09-30,6.6667
2019-10-02,25.0
2019-10-03,-50.0
2019-10-07,15.0
2019-10-17,-13.0435
2019-10-22,15.0
2019-10-23,100.0
2019-11-04,-17.3913
2019-11-11,-21.0526
2019-11-14,-13.3333
2019-11-15,23.0769
2019-11-19,-15.625
2019-11-20,0.0
2019-11-25,6.6667
2019-11-26,-13.1944
2019-12-02,0.0
2019-12-03,-4.0
2019-12-04,0.0
2019-12-05,-36.6667
2019-12-09,0.0
2020-03-17,-90.0
2020-04-09,97.3684
2020-07-06,566.6667
2020-07-17,20.0
