ticker,WCFB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.8333
2000-01-05,-1.7699
2000-01-10,0.0
2000-01-12,0.9009
2000-01-18,-0.8929
2000-01-19,0.0
2000-01-20,0.9009
2000-01-24,0.0
2000-01-25,0.0
2000-01-26,1.7856999999999998
2000-01-28,1.7544
2000-02-01,2.5862
2000-02-02,-1.6806999999999999
2000-02-07,1.3865
2000-02-08,0.8547
2000-02-11,2.5423999999999998
2000-02-14,-6.6116
2000-02-15,-3.5398
2000-02-22,-4.5872
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,0.0
2000-03-06,0.1202
2000-03-08,-0.12
2000-03-15,3.8462
2000-03-16,-11.1111
2000-03-27,-8.3333
2000-03-30,4.5455
2000-03-31,13.0435
2000-04-18,3.8462
2000-04-25,-17.5926
2000-04-26,13.4831
2000-05-02,9.901
2000-05-03,-18.9189
2000-05-18,4.0724
2000-05-24,0.0
2000-06-07,17.3913
2000-06-20,-12.963
2000-06-21,-2.1277
2000-06-27,0.0
2000-07-03,-2.1739
2000-07-13,13.3333
2000-07-14,-5.8824
2000-07-18,-2.0833
2000-07-19,0.0
2000-07-21,0.0
2000-08-08,-3.6797
2000-08-23,0.0
2000-08-28,7.8652
2000-08-31,7.2917
2000-09-06,-10.6796
2000-09-08,6.5217
2000-09-19,3.0612
2000-09-21,-9.901
2000-09-25,3.2967
2000-09-28,-3.1915
2000-10-03,1.6484
2000-10-04,-0.5405
2000-10-05,3.2609
2000-10-10,1.0526
2000-10-13,0.0
2000-10-16,0.0
2000-10-17,-6.25
2000-10-24,5.5556
2000-10-27,2.1053
2000-10-30,0.0
2000-11-01,5.1546
2000-11-03,5.4902
2000-11-06,-0.9434
2000-11-08,1.9048
2000-11-10,-0.9346
2000-11-13,0.0
2000-11-14,1.8868
2000-11-20,0.0
2000-11-30,0.0
2000-12-01,4.6296
2000-12-06,-2.6549
2000-12-07,0.9091
2000-12-21,1.8018
2001-01-22,0.885
2001-01-25,0.8772
2001-02-21,-1.2346
2001-02-22,0.0
2001-02-23,0.0
2001-02-27,5.3571
2001-02-28,-1.6949
2001-03-13,-2.5862
2001-03-19,0.0
2001-03-20,0.0
2001-03-21,0.0
2001-03-22,1.7699
2001-03-28,0.0
2001-03-29,3.4783
2001-03-30,-5.042
2001-04-02,-2.6549
2001-04-04,0.0
2001-04-05,1.8182
2001-04-06,-1.7856999999999998
2001-04-09,0.9091
2001-04-10,6.3063
