ticker,WTRH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-07,0.0
2016-09-13,0.4021
2016-09-15,0.1129
2016-09-20,0.2051
2016-09-23,-0.2047
2016-09-26,1.0173
2016-09-28,-2.0224
2016-09-30,1.2435
2016-10-05,0.3071
2016-10-11,-0.5102
2016-10-13,0.0
2016-10-14,0.0
2016-10-17,0.0
2016-10-18,0.7179
2016-10-25,-0.7128
2016-10-31,0.0
2016-11-03,0.5128
2016-12-22,-0.7143
2016-12-23,0.0
2016-12-28,0.5139
2017-01-04,0.6135
2017-01-05,0.0
2017-01-06,-0.2033
2017-01-11,0.3055
2017-01-13,0.5076
2017-01-24,-0.303
2017-01-25,0.0
2017-01-27,0.3293
2017-01-30,-0.2272
2017-01-31,0.0
2017-02-02,0.2024
2017-02-03,0.0051
2017-02-06,-0.0051
2017-02-09,1.0101
2017-02-10,0.5
2017-02-16,0.0
2017-02-17,-0.6965
2017-02-21,-0.1002
2017-02-22,0.0
2017-03-03,2.3069
2017-03-06,-0.4902
2017-03-08,-1.4778
2017-03-09,0.0
2017-03-21,0.0
2017-03-23,-0.5
2017-03-27,0.201
2017-03-28,0.1003
2017-03-29,0.2004
2017-03-30,-0.3
2017-04-04,0.1003
2017-04-05,0.0
2017-04-07,0.0
2017-04-10,-0.1002
2017-04-11,0.0
2017-04-19,0.0
2017-04-28,0.1003
2017-05-08,0.1002
2017-05-10,-0.4004
2017-05-16,-0.5025
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.202
2017-05-22,0.1008
2017-05-23,-0.1007
2017-05-25,-0.1008
2017-05-26,-0.1009
2017-05-30,0.303
2017-05-31,0.3021
2017-06-02,0.0
2017-06-05,0.1343
2017-06-06,-0.0338
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.2006
2017-06-12,0.4364
2017-06-13,-0.1355
2017-06-15,-0.3992
2017-06-16,0.2004
2017-06-21,0.204
2017-06-26,-0.2036
2017-06-28,0.0
2017-06-29,1.7
2017-06-30,-0.4916
2017-07-03,-0.1976
2017-07-07,-0.8911
2017-07-11,0.2997
2017-07-12,-0.498
2017-07-13,0.3003
2017-07-18,0.998
2017-07-19,-0.0988
2017-07-20,0.7913
2017-07-21,-0.8832
2017-07-24,0.297
2017-07-25,-0.0997
2017-07-26,0.001
2017-07-27,0.2964
2017-07-28,-0.0985
2017-07-31,-1.1558
2017-08-01,-0.017
2017-08-02,-0.011
2017-08-03,0.0998
2017-08-04,0.1994
2017-08-08,0.0
