ticker,GLFH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-29,1.2987
2014-09-30,0.0
2014-10-01,3.8462
2014-10-02,0.0
2014-10-03,-1.2346
2014-10-06,-2.5
2014-10-07,3.8462
2014-10-08,-2.4691
2014-10-09,2.5316
2014-10-10,0.0
2014-10-13,-6.1728
2014-10-14,5.2632
2014-10-15,75.0
2014-10-16,20.0
2014-10-17,-10.7143
2014-10-20,25.3333
2014-10-21,27.6596
2014-10-22,12.5
2014-10-23,85.1852
2014-10-24,-20.0
2014-10-27,-15.0
2014-10-28,-26.4706
2014-10-29,-8.0
2014-10-30,-17.3913
2014-10-31,-15.7895
2014-11-03,-6.25
2014-11-04,-13.3333
2014-11-05,-15.3846
2014-11-06,-12.7273
2014-11-07,14.5833
2014-11-10,27.2727
2014-11-11,-7.1429
2014-11-12,7.6923
2014-11-13,0.0
2014-11-14,0.0
2014-11-17,-12.857099999999999
2014-11-18,-9.8361
2014-11-19,-3.6364
2014-11-20,3.7736
2014-11-21,-2.0
2014-11-24,-2.5974
2014-11-25,-4.7619
2014-11-26,-2.0
2014-12-01,22.449
2014-12-02,-8.3333
2014-12-03,5.4205
2014-12-04,-18.9609
2014-12-05,-2.1016
2014-12-08,2.1739
2014-12-09,-2.1277
2014-12-10,-4.3478
2014-12-11,2.2727
2014-12-12,-2.2222
2014-12-15,11.321
2014-12-16,-8.1281
2014-12-17,-22.2222
2014-12-18,14.2857
2014-12-19,5.0
2014-12-22,7.1131
2014-12-23,0.0278
2014-12-24,0.0
2014-12-26,0.0
2014-12-29,0.0
2014-12-30,-11.1111
2014-12-31,12.5
2015-01-02,-2.4444
2015-01-05,-2.0501
2015-01-06,0.0
2015-01-07,-6.9767
2015-01-08,0.0
2015-01-12,-12.5
2015-01-13,-14.2857
2015-01-14,13.3333
2015-01-15,-11.7647
2015-01-16,-10.0
2015-01-20,0.0
2015-01-21,-14.4444
2015-01-22,16.8831
2015-01-23,-3.7037
2015-01-26,-23.0769
2015-01-27,0.0
2015-01-28,-10.0
2015-01-29,11.1111
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,54.9375
2015-02-04,0.0403
2015-02-05,-12.9032
2015-02-06,3.7037
2015-02-09,10.7143
2015-02-10,-3.2258
2015-02-11,0.0
2015-02-12,-16.6667
2015-02-13,7.0
2015-02-17,0.9346
2015-02-18,-1.8519
2015-02-19,1.8868
2015-02-20,0.0
2015-02-23,-3.7037
2015-02-24,-3.8462
2015-02-25,8.0
