ticker,CYRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-04,-31.8919
2005-03-09,90.4762
2005-03-14,108.3333
2005-03-16,225.12
2005-03-17,0.3937
2005-03-18,0.0
2005-03-21,0.9804
2005-03-22,0.0
2005-03-23,0.5825
2005-03-24,1.3514
2005-03-28,4.7619
2005-03-29,1.8182
2005-03-30,-0.0893
2005-03-31,0.0
2005-04-01,0.0894
2005-04-04,-0.3571
2005-04-05,-0.5376
2005-04-06,1.2612999999999999
2005-04-07,1.4235
2005-04-08,0.0
2005-04-11,0.8772
2005-04-13,-3.4783
2005-04-14,3.6036
2005-04-15,-0.8696
2005-04-18,-0.7018
2005-04-19,0.7067
2005-04-20,0.0
2005-04-21,1.7544
2005-04-22,-6.8966
2005-04-28,-7.7778
2005-04-29,8.4337
2005-05-02,0.0
2005-05-03,0.0
2005-05-06,0.0
2005-05-09,0.0
2005-05-11,6.4815
2005-05-12,0.0
2005-05-13,0.0
2005-05-16,0.0
2005-05-17,0.0
2005-05-18,0.0
2005-05-19,-0.3478
2005-05-23,0.349
2005-05-24,0.0
2005-05-25,0.0
2005-05-26,-0.1739
2005-05-31,1.0453
2005-06-08,0.0
2005-06-10,0.0
2005-06-13,0.0
2005-06-14,0.0
2005-06-15,5.1724
2005-06-16,-1.6393
2005-06-17,-1.6667
2005-06-20,3.1356
2005-06-21,-2.5472
2005-06-22,1.1804000000000001
2005-06-23,-1.6667
2005-06-27,-3.3898
2005-06-28,4.386
2005-06-30,-5.042
2005-07-06,5.3097
2005-07-07,-0.8403
2005-07-11,-6.7797
2005-07-12,5.4545
2005-07-13,5.1724
2005-07-19,-3.2787
2005-07-20,0.0
2005-07-21,-2.5423999999999998
2005-07-22,4.3478
2005-07-25,-0.5
2005-07-27,-1.1724999999999999
2005-07-28,0.0
2005-07-29,1.6949
2005-08-01,0.0
2005-08-02,-0.8333
2005-08-03,0.8403
2005-08-04,3.3333
2005-08-05,-0.4839
2005-08-08,-0.3241
2005-08-09,-0.2439
2005-08-10,1.0594999999999999
2005-08-11,-0.3226
2005-08-12,0.0
2005-08-15,-2.9126
2005-08-16,2.8333
2005-08-17,0.4862
2005-08-18,-0.4032
2005-08-19,1.2146
2005-08-22,0.0
2005-08-23,0.0
2005-08-24,-4.96
2005-08-25,5.9764
2005-08-26,0.0794
2005-08-29,-4.7619
2005-08-30,-3.3333
2005-08-31,-1.8965999999999998
2005-09-02,8.9631
2005-09-06,0.0
2005-09-07,0.0
2005-09-08,0.0
