ticker,TWNK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-08,-2.0408
2015-12-09,0.0
2015-12-15,0.0
2015-12-17,0.4167
2015-12-23,3.7344
2016-01-14,-4.3
2016-01-19,-0.5225
2016-01-20,0.3151
2016-01-21,1.466
2016-01-28,-1.6512
2016-01-29,1.4689999999999999
2016-02-02,0.6205
2016-02-03,0.2055
2016-02-04,1.0256
2016-02-17,-1.1777
2016-02-26,0.1644
2016-02-29,-0.2564
2016-03-01,0.2571
2016-03-02,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-14,-0.1026
2016-03-15,-2.3614
2016-03-16,2.4185
2016-03-17,-2.2587
2016-03-18,0.0
2016-03-21,-0.105
2016-03-22,0.9464
2016-03-23,1.25
2016-03-29,0.4115
2016-03-30,-0.9221
2016-03-31,0.8273
2016-04-06,0.0
2016-04-20,-0.1026
2016-04-21,-2.0534
2016-04-27,0.1048
2016-04-29,2.0942
2016-05-04,-1.9487
2016-05-05,1.1506
2016-05-06,1.3444
2016-05-09,-1.0204
2016-05-10,-1.0309
2016-05-11,0.0
2016-05-12,0.0
2016-05-16,-0.5208
2016-05-17,0.733
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.6237
2016-05-23,-0.6198
2016-05-24,0.0
2016-05-25,0.9356
2016-05-26,-0.7209
2016-05-31,0.7261
2016-06-02,-0.5149
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-10,0.1035
2016-06-14,0.5171
2016-06-15,-0.7202
2016-06-16,1.0363
2016-06-17,-1.0256
2016-06-20,0.0
2016-06-21,0.3109
2016-06-22,-0.2066
2016-06-24,0.9317
2016-06-27,-0.5128
2016-06-28,-0.2062
2016-06-29,0.6198
2016-07-01,0.4094
2016-07-05,2.3529999999999998
2016-07-06,1.3986
2016-07-07,0.4926
2016-07-08,0.1961
2016-07-11,-0.3914
2016-07-12,0.4912
2016-07-13,-0.0978
2016-07-14,-0.2935
2016-07-15,0.1963
2016-07-18,-0.0979
2016-07-19,0.4902
2016-07-20,1.4634
2016-07-21,-0.7692
2016-07-22,0.4845
2016-07-25,-0.2893
2016-07-26,-0.5803
2016-07-27,0.5837
2016-07-28,-0.8704
2016-07-29,0.3902
2016-08-01,0.5831
2016-08-02,0.1932
2016-08-03,0.0964
2016-08-04,-0.0963
2016-08-05,0.2893
2016-08-08,0.1923
2016-08-09,1.7274
2016-08-10,2.3585
2016-08-11,0.0
2016-08-12,-0.4608
