ticker,OVIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-29,50.7989
2007-10-30,-0.3759
2007-10-31,-1.8868
2007-11-01,0.0
2007-11-02,0.0
2007-11-05,-3.8462
2007-11-07,3.1
2007-11-14,-3.0068
2007-11-20,0.0
2007-11-21,0.0
2007-11-23,0.0
2007-12-05,0.0
2007-12-10,0.0
2007-12-13,0.0
2007-12-18,0.0
2007-12-19,0.0
2008-01-02,-14.0
2008-01-08,-6.9767
2008-01-22,-25.0
2008-01-23,0.0
2008-01-28,66.6667
2008-01-30,0.0
2008-01-31,28.0
2008-02-05,-18.75
2008-02-11,0.0
2008-02-14,15.3846
2008-02-15,0.0
2008-02-28,0.0
2008-02-29,8.3333
2008-03-05,-23.0769
2008-03-10,36.0
2008-03-25,-17.647100000000002
2008-03-27,-12.5
2008-03-28,22.449
2008-03-31,0.0
2008-04-01,-33.3333
2008-04-07,0.0
2008-04-09,-20.0
2008-04-15,56.25
2008-04-16,4.0
2008-04-17,-38.4615
2008-04-18,81.25
2008-04-21,-3.4483
2008-04-22,-21.4286
2008-04-24,-40.9091
2008-04-25,15.3846
2008-04-28,33.3333
2008-04-29,15.0
2008-04-30,-13.0435
2008-05-01,-20.0
2008-05-05,9.375
2008-05-06,-8.5714
2008-05-08,0.0
2008-05-09,25.0
2008-05-13,-15.0
2008-05-14,-2.9412000000000003
2008-05-15,63.6364
2008-05-16,-40.7407
2008-05-19,0.0
2008-05-20,0.0
2008-05-21,0.0
2008-05-23,-21.875
2008-05-27,0.0
2008-05-28,-8.0
2008-05-29,60.8696
2008-05-30,62.1622
2008-06-02,-25.0
2008-06-03,-28.4444
2008-06-04,-12.4224
2008-06-05,0.0
2008-06-06,0.0
2008-06-09,6.383
2008-06-10,-10.0
2008-06-11,-48.1481
2008-06-12,57.1429
2008-06-13,213.6364
2008-06-16,-65.2174
2008-06-17,25.0
2008-06-18,-47.3333
2008-06-19,77.2152
2008-06-20,0.0
2008-06-23,10.7143
2008-06-24,29.0323
2008-06-25,-45.0
2008-06-26,0.0
2008-06-27,72.7273
2008-06-30,55.2632
2008-07-01,-57.2881
2008-07-03,-0.7937
2008-07-07,0.0
2008-07-08,0.0
2008-07-14,-1.6
2008-07-16,-18.6992
2008-07-17,5.0
2008-07-21,0.0
2008-07-23,0.0
2008-07-28,-3.8095
2008-07-29,5.9406
2008-07-31,77.5701
2008-08-01,-21.0526
2008-08-04,-30.0
2008-08-05,38.0952
2008-08-06,-13.7931
2008-08-07,0.8
