ticker,BUHF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-20,-16.6667
2000-08-08,0.0
2000-08-17,6.6667
2000-09-21,15.625
2000-12-19,-16.2162
2002-02-28,4.8387
2002-10-16,-5.5385
2002-11-20,-0.3257
2002-11-27,-1.9607999999999999
2003-04-17,3.3333
2004-12-08,-14.5161
2005-07-28,3.9245
2005-08-23,1.6703000000000001
2005-09-20,3.5714
2005-11-29,-5.1724
2006-08-08,-16.0
2006-08-28,1.2987
2007-02-28,2.1368
2007-04-02,4.6025
2007-12-10,-2.0
2008-04-03,1.6327
2008-06-12,3.2129
2008-06-13,0.0
2008-06-17,-10.5058
2008-08-13,-8.6957
2008-12-23,-20.0
2009-01-15,-4.7619
2010-04-06,28.125
2010-12-23,-30.7317
2011-05-03,12.6761
2011-06-03,-4.375
2011-07-21,0.0
2011-08-12,0.6536
2011-08-15,0.0
2011-08-24,0.6494
2011-09-16,0.0
2011-10-13,-0.6452
2011-11-07,-5.8442
2012-02-16,8.2759
2012-03-23,14.6497
2012-08-10,-11.1111
2012-10-19,5.25
2013-06-17,2.2565
2013-06-19,4.5296
2014-01-14,1.2222
2014-01-15,4.9396
2014-01-23,-4.7071
2014-02-19,0.1098
2014-08-13,31.5789
2016-04-25,-4.1667
2016-09-15,4.3478
2017-01-31,-4.1667
2017-03-21,0.4348
2018-12-14,10.6494
2018-12-21,-1.4085
2019-02-05,5.1587
2019-08-15,13.2075
2019-09-27,-3.1333
2020-03-20,-5.3682
2020-07-23,-10.1818
