ticker,CBHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-17,-4.7619
2005-08-18,4.1667
2006-01-06,10.0
2006-01-09,12.7273
2006-03-08,9.0323
2006-03-13,1.1834
2006-03-27,-2.2222
2007-07-20,1.6745999999999999
2007-07-26,-3.8235
2007-10-31,-2.1407
2007-12-05,-1.5625
2007-12-11,-5.7143
2008-02-29,-0.6734
2008-07-15,-8.4746
2008-07-17,0.0
2009-10-12,-42.2222
2009-10-13,2.5641
2010-06-25,3.75
2010-08-04,32.5301
2011-03-02,0.0
2011-05-20,-18.1818
2011-06-14,0.0
2011-12-23,-10.5556
2012-03-21,21.118
2012-03-28,-7.6923
2012-03-30,11.1111
2012-04-27,0.0
2014-05-21,21.4689
2014-06-03,0.0
2014-07-01,25.5814
