ticker,KXIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-08,0.2077
2017-11-09,-0.4145
2017-11-10,-0.1041
2017-11-13,0.0
2017-11-15,0.1042
2017-11-16,0.0
2017-11-17,0.0
2017-11-20,0.0
2017-11-21,0.4162
2017-11-30,0.0
2017-12-04,0.0
2017-12-05,0.0
2017-12-06,-0.2073
2017-12-07,0.0
2017-12-08,0.3115
2017-12-11,-0.4141
2017-12-13,-0.2079
2017-12-15,0.5198
2017-12-19,-0.4135
2017-12-20,0.1041
2017-12-21,0.0
2017-12-27,-0.3119
2017-12-29,0.6257
2018-01-02,-0.2073
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.4143
2018-01-08,-0.2058
2018-01-09,-0.1036
2018-01-10,0.0
2018-01-11,0.2075
2018-01-12,0.0
2018-01-16,-0.1046
2018-01-17,0.001
2018-01-18,0.0
2018-01-19,0.1036
2018-01-22,0.1035
2018-01-23,0.0
2018-01-24,-0.1034
2018-01-25,-0.4141
2018-01-26,0.2079
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.4149
2018-02-02,0.1033
2018-02-05,0.2064
2018-02-06,-0.104
2018-02-07,-0.1021
2018-02-08,0.1032
2018-02-09,-0.1031
2018-02-12,-0.4128
2018-02-14,0.5181
2018-02-15,0.3093
2018-02-16,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.1017
2018-02-26,0.1037
2018-02-27,0.1026
2018-02-28,0.0
2018-03-01,-0.1025
2018-03-02,0.2051
2018-03-06,-0.2047
2018-03-07,0.2051
2018-03-08,0.0
2018-03-09,-0.7165
2018-03-13,0.9278
2018-03-15,0.0
2018-03-19,-0.3064
2018-03-20,0.3074
2018-03-22,-0.1021
2018-03-26,-0.3067
2018-03-27,0.3077
2018-03-29,-0.409
2018-04-03,0.1027
2018-04-04,-0.5128
2018-04-05,0.0
2018-04-06,0.9278
2018-04-11,0.1021
2018-04-12,-0.6122
2018-04-13,0.7187
2018-04-16,-0.4077
2018-04-25,-0.5107
2018-04-30,0.3076
2018-05-07,-0.3077
2018-05-08,0.2058
2018-05-09,0.4107
2018-05-10,-0.409
2018-05-14,0.5133
2018-05-15,-0.5107
2018-05-16,0.462
2018-05-22,0.1543
2018-05-24,0.4071
2018-05-25,-0.1016
2018-05-29,-0.1017
2018-05-30,0.0
2018-05-31,0.0
2018-06-01,0.3055
2018-06-06,0.0
2018-06-11,0.4061
2018-06-12,0.1011
2018-06-13,-0.303
