ticker,INGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-14,-5.3125
2014-02-18,0.6601
2014-02-19,-0.9836
2014-02-20,2.649
2014-02-21,6.7742
2014-02-24,2.5378
2014-02-25,-0.1179
2014-02-26,0.295
2014-02-27,0.8235
2014-02-28,2.1587
2014-03-03,1.028
2014-03-04,7.5184
2014-03-05,1.9979
2014-03-06,-0.1031
2014-03-07,-0.9804
2014-03-10,1.6154
2014-03-11,-3.8462
2014-03-12,8.32
2014-03-13,-1.5263
2014-03-14,-3.0
2014-03-17,2.8350999999999997
2014-03-18,-0.5013
2014-03-19,-0.0504
2014-03-20,-6.754
2014-03-21,-7.027
2014-03-24,-2.9651
2014-03-25,0.6591
2014-03-26,-0.3571
2014-03-27,0.4182
2014-03-28,-1.4277
2014-03-31,-0.3621
2014-04-01,0.6663
2014-04-02,-0.5415
2014-04-03,1.0284
2014-04-04,-2.0958
2014-04-07,0.1835
2014-04-08,0.5495
2014-04-09,0.0
2014-04-10,-0.0607
2014-04-11,2.6124
2014-04-14,-3.3748
2014-04-15,-6.924
2014-04-16,0.8558
2014-04-17,-3.0679
2014-04-21,-0.8754
2014-04-22,1.4946
2014-04-23,-2.2088
2014-04-24,0.7529
2014-04-25,-0.5435
2014-04-28,-2.5956
2014-04-29,-1.5428
2014-04-30,0.4986
2014-05-01,3.5436
2014-05-02,-2.8747
2014-05-05,-0.8457
2014-05-06,-1.2082
2014-05-07,1.0791
2014-05-08,-1.7082000000000002
2014-05-09,2.7516
2014-05-12,1.8323
2014-05-13,1.1764999999999999
2014-05-14,11.4227
2014-05-15,-0.9208
2014-05-16,0.4337
2014-05-19,-2.5601000000000003
2014-05-20,0.7914
2014-05-21,3.7688
2014-05-22,1.8765
2014-05-23,1.1289
2014-05-27,-0.3525
2014-05-28,-0.1179
2014-05-29,0.3542
2014-05-30,-1.2941
2014-06-02,-2.1454
2014-06-03,-0.8526
2014-06-04,2.2113
2014-06-05,2.8846
2014-06-06,-0.4673
2014-06-09,0.9977
2014-06-10,0.7554
2014-06-11,-1.6148
2014-06-12,2.8136
2014-06-13,4.9031
2014-06-16,2.7717
2014-06-17,3.9133
2014-06-18,-2.3919
2014-06-19,-3.9103
2014-06-20,0.7054
2014-06-23,3.125
2014-06-24,4.1275
2014-06-25,4.8169
2014-06-26,-1.2925
2014-06-27,6.0136
2014-06-30,3.2022
2014-07-01,4.5213
2014-07-02,-2.6718
2014-07-03,-4.1394
2014-07-07,-6.2727
