ticker,SXI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.2985
2000-01-04,-0.8929
2000-01-05,1.5015
2000-01-06,-1.7751000000000001
2000-01-07,-0.6024
2000-01-10,1.2121
2000-01-11,-3.2934
2000-01-12,-7.1207
2000-01-13,1.0
2000-01-14,0.9901
2000-01-18,-0.6536
2000-01-19,-0.6579
2000-01-20,-0.9934
2000-01-21,0.0
2000-01-24,-3.6789
2000-01-25,-1.0417
2000-01-26,-4.5614
2000-01-27,0.0
2000-01-28,-2.2059
2000-01-31,0.0
2000-02-01,-1.1278
2000-02-02,1.1407
2000-02-03,1.9548999999999999
2000-02-04,1.8657
2000-02-07,0.3663
2000-02-08,-0.365
2000-02-09,1.0989
2000-02-10,-1.4493
2000-02-11,-2.2059
2000-02-14,1.5038
2000-02-15,0.7407
2000-02-16,-1.4706000000000001
2000-02-17,0.7463
2000-02-18,-0.7407
2000-02-22,-2.9851
2000-02-23,-1.9231
2000-02-24,0.3922
2000-02-25,0.7812
2000-02-28,0.7752
2000-02-29,-2.6923
2000-03-01,-1.1858
2000-03-02,0.4
2000-03-03,-3.5857
2000-03-06,-1.6529
2000-03-07,0.8403
2000-03-08,1.6667
2000-03-09,-2.459
2000-03-10,0.8403
2000-03-13,0.0
2000-03-14,0.8333
2000-03-15,-0.4132
2000-03-16,7.0539
2000-03-17,-2.7132
2000-03-20,-1.992
2000-03-21,-1.2195
2000-03-22,-0.823
2000-03-23,-3.3195
2000-03-24,4.721
2000-03-27,3.2787
2000-03-28,-3.9683
2000-03-29,-0.4132
2000-03-30,4.9793
2000-03-31,-1.9763
2000-04-03,2.0161
2000-04-04,-2.7668
2000-04-05,0.0
2000-04-06,4.878
2000-04-07,-0.3876
2000-04-10,1.9455
2000-04-11,1.145
2000-04-12,3.3962
2000-04-13,1.0949
2000-04-14,-0.361
2000-04-17,-2.1739
2000-04-18,-0.7407
2000-04-19,1.8657
2000-04-20,-1.0989
2000-04-24,-0.3704
2000-04-25,-1.1152
2000-04-26,-1.8797000000000001
2000-04-27,0.7663
2000-04-28,0.0
2000-05-01,3.4221
2000-05-02,4.4118
2000-05-03,-0.3521
2000-05-04,-2.0495
2000-05-05,-1.8248
2000-05-08,0.7435
2000-05-09,1.845
2000-05-10,-3.2609
2000-05-11,-2.6217
2000-05-12,-4.2308
2000-05-15,8.4337
2000-05-16,-2.2222
2000-05-17,-2.2727
2000-05-18,-3.1008
2000-05-19,-0.8
2000-05-22,0.8065
2000-05-23,0.8
