ticker,GDOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-22,22.1944
2010-07-23,0.4774
2010-07-26,-0.3394
2010-07-27,-2.3837
2010-07-28,0.0233
2010-07-29,-0.1395
2010-07-30,1.2806
2010-08-02,0.046
2010-08-03,-1.1949
2010-08-04,0.7209
2010-08-05,0.0231
2010-08-06,0.7618
2010-08-09,6.071
2010-08-10,1.6415
2010-08-11,-0.2762
2010-08-12,-0.7884
2010-08-13,-3.329
2010-08-16,-1.1331
2010-08-17,0.6742
2010-08-18,-0.4464
2010-08-19,0.9193
2010-08-20,2.1995
2010-08-23,-1.6303999999999998
2010-08-24,-0.9503
2010-08-25,0.5801
2010-08-26,0.6433
2010-08-27,2.4025
2010-08-30,-1.8941
2010-08-31,-0.7021
2010-09-01,3.8445
2010-09-02,4.2553
2010-09-03,1.7347000000000001
2010-09-07,0.7422
2010-09-08,0.5376
2010-09-09,2.2183
2010-09-10,0.5813
2010-09-13,1.4255
2010-09-14,1.9563000000000001
2010-09-15,-1.2668
2010-09-16,-0.5849
2010-09-17,0.038
2010-09-20,-1.2142
2010-09-21,-0.749
2010-09-22,-3.7539
2010-09-23,3.5183
2010-09-24,0.9905
2010-09-27,0.4615
2010-09-28,-2.1057
2010-09-29,0.9582
2010-09-30,-6.1011
2010-10-01,0.7632
2010-10-04,-5.6295
2010-10-05,-2.2126
2010-10-06,2.3736
2010-10-07,4.4854
2010-10-08,0.5185
2010-10-11,-0.2682
2010-10-12,-1.324
2010-10-13,0.9644
2010-10-14,-0.1661
2010-10-15,1.9343
2010-10-18,3.9379999999999997
2010-10-19,-5.1433
2010-10-20,0.6623
2010-10-21,1.1924
2010-10-22,1.219
2010-10-25,1.5655999999999999
2010-10-26,-1.4426999999999999
2010-10-27,0.2807
2010-10-28,-1.6797
2010-10-29,3.315
2010-11-01,2.9528
2010-11-02,4.0727
2010-11-03,1.9658
2010-11-04,-4.2883
2010-11-05,-0.2636
2010-11-08,1.8498
2010-11-09,0.7228
2010-11-10,0.4232
2010-11-11,-0.4031
2010-11-12,-0.2575
2010-11-15,-0.4058
2010-11-16,-2.3889
2010-11-17,0.3035
2010-11-18,0.9079
2010-11-19,0.2999
2010-11-22,-1.9062000000000001
2010-11-23,0.6668
2010-11-24,1.2490999999999999
2010-11-26,0.7103
2010-11-29,2.5984
2010-11-30,4.7033000000000005
2010-12-01,3.0581
2010-12-02,0.1006
2010-12-03,5.3257
2010-12-06,2.8462
2010-12-07,-3.1231
