ticker,HZN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-30,-7.3846
2015-07-01,-8.6379
2015-07-02,-11.2
2015-07-06,5.6511
2015-07-07,3.5659
2015-07-08,-4.2665
2015-07-09,-1.5636999999999999
2015-07-10,1.112
2015-07-13,2.828
2015-07-14,6.4935
2015-07-15,0.0717
2015-07-16,1.147
2015-07-17,-1.2048
2015-07-20,-5.0215
2015-07-21,-2.3414
2015-07-22,0.1547
2015-07-23,-0.3861
2015-07-24,-0.3101
2015-07-27,-0.9331
2015-07-28,0.2355
2015-07-29,-3.289
2015-07-30,0.4858
2015-07-31,0.8864
2015-08-03,-0.4792
2015-08-04,0.7223
2015-08-05,-13.7052
2015-08-06,-7.6639
2015-08-07,0.7
2015-08-10,10.0298
2015-08-11,1.7147999999999999
2015-08-12,-4.614
2015-08-13,0.5581
2015-08-14,1.9426
2015-08-17,4.0835
2015-08-18,-0.4359
2015-08-19,-0.8757
2015-08-20,-2.8269
2015-08-21,0.0
2015-08-24,-3.5455
2015-08-25,-0.8483
2015-08-26,-2.8517
2015-08-27,0.7828
2015-08-28,4.0777
2015-08-31,-2.4254
2015-09-01,-4.3021
2015-09-02,-4.6953
2015-09-03,2.2013
2015-09-04,-2.0513
2015-09-08,1.8848
2015-09-09,-0.1028
2015-09-10,0.0
2015-09-11,-0.823
2015-09-14,-2.3859
2015-09-15,-1.5939999999999999
2015-09-16,0.432
2015-09-17,-5.0538
2015-09-18,6.4553
2015-09-21,2.8723
2015-09-22,-3.2058
2015-09-23,1.3889
2015-09-24,1.3699
2015-09-25,-1.9750999999999999
2015-09-28,-1.3786
2015-09-29,-6.0215
2015-09-30,0.9153
2015-10-01,-0.1134
2015-10-02,-2.4972
2015-10-05,5.4715
2015-10-06,0.0
2015-10-07,1.5453000000000001
2015-10-08,0.1087
2015-10-09,0.0
2015-10-12,-0.3257
2015-10-13,-0.8715
2015-10-14,-3.2967
2015-10-15,4.0909
2015-10-16,0.7642
2015-10-19,-1.4085
2015-10-20,1.5385
2015-10-21,0.4329
2015-10-22,-3.0172
2015-10-23,2.2222
2015-10-26,-0.6522
2015-10-27,-6.0175
2015-10-28,1.2806
2015-10-29,0.6897
2015-10-30,0.3425
2015-11-02,2.6166
2015-11-03,0.4435
2015-11-04,-1.2141
2015-11-05,3.0168
2015-11-06,1.9523000000000001
2015-11-09,-3.5106
2015-11-10,1.6538
2015-11-11,-1.8437999999999999
2015-11-12,-2.8729
2015-11-13,-4.6644
