ticker,NAMX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-20.0
2000-01-05,0.0
2000-01-06,-21.875
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,-4.0
2000-01-13,66.6667
2000-01-14,-20.0
2000-01-18,0.0
2000-01-20,0.0
2000-01-24,0.0
2000-01-28,0.0
2000-05-16,150.0
2000-05-31,-99.0
2000-09-13,0.0
2000-09-18,0.0
2000-09-19,0.0
2000-09-25,0.0
2000-09-27,0.0
2000-09-28,0.0
2000-10-02,900.0
2000-10-26,-90.0
2000-11-27,0.0
2000-11-30,900.0
2000-12-01,-90.0
2000-12-04,0.0
2000-12-05,137.5
2000-12-07,-94.7368
2000-12-14,700.0
2000-12-15,0.0
2000-12-18,-87.5
2000-12-19,0.0
2000-12-20,0.0
2000-12-22,0.0
2000-12-26,700.0
2000-12-28,0.0
2000-12-29,-87.5
2001-05-08,700.0
2001-05-14,-87.5
2001-05-23,7900.0
2001-06-13,-90.0
2001-08-13,-87.5
2001-08-29,700.0
2001-09-05,-87.5
2001-10-03,0.0
2001-10-23,700.0
2001-10-26,0.0
2001-11-02,-87.5
2001-11-13,0.0
2001-11-20,700.0
2001-11-30,-87.5
2001-12-04,0.0
2001-12-05,700.0
2001-12-07,-87.5
2001-12-11,450.0
2001-12-27,-81.8182
2001-12-28,0.0
2001-12-31,0.0
2002-01-29,700.0
2002-02-07,-87.5
2002-02-11,0.0
2002-02-28,0.0
2002-03-04,0.0
2002-03-25,0.0
2002-04-05,700.0
2002-04-17,-87.5
2002-04-23,700.0
2002-04-30,0.0
2002-05-10,-87.5
2002-05-28,0.0
2002-05-29,0.0
2002-06-05,0.0
2002-06-19,0.0
2002-06-25,0.0
2002-07-15,0.0
2002-07-23,0.0
2002-07-31,700.0
2002-09-30,0.0
2002-10-15,-87.5
2002-11-06,0.0
2002-11-13,0.0
2002-12-18,0.0
2002-12-23,0.0
2002-12-27,0.0
2002-12-30,0.0
2003-02-03,0.0
2003-03-04,0.0
2003-03-20,0.0
2003-04-08,0.0
2003-04-21,0.0
2003-05-21,0.0
2003-05-22,0.0
2003-06-17,0.0
2003-06-24,0.0
2003-06-26,0.0
2003-06-27,0.0
2003-07-03,0.0
2003-07-24,0.0
2003-08-29,0.0
2003-10-15,0.0
2003-10-23,0.0
2003-11-19,0.0
2003-12-02,0.0
2003-12-05,0.0
2003-12-10,0.0
2003-12-24,0.0
2004-01-02,9500.0
2004-01-09,-98.9583
2004-01-28,0.0
2004-02-02,0.0
2004-03-18,0.0
2004-03-31,0.0
2004-07-16,0.0
2004-07-19,0.0
2004-09-09,0.0
2004-09-23,0.0
2004-10-05,0.0
2004-10-07,0.0
2004-10-26,0.0
2004-11-03,0.0
2004-11-04,0.0
2004-11-29,0.0
2004-12-30,0.0
2005-02-22,0.0
2005-03-24,0.0
2005-04-21,0.0
2005-05-16,0.0
2005-05-26,0.0
2005-06-01,0.0
2005-06-03,0.0
2005-06-13,0.0
2005-08-23,0.0
2005-09-26,0.0
2005-09-29,0.0
2005-11-09,0.0
2007-03-20,0.0
2007-05-07,0.0
2007-07-10,0.0
2007-07-24,0.0
2007-08-29,0.0
2008-01-15,0.0
2008-02-26,700.0
2009-03-04,-87.5
2009-03-25,0.0
2009-05-04,0.0
2009-05-05,0.0
2009-06-26,39900.0
2009-07-09,-90.0
2009-08-10,-97.5
2009-08-14,0.0
2009-08-18,0.0
2009-11-23,0.0
2009-12-15,0.0
2011-03-16,0.0
2012-05-04,0.0
2016-11-01,700.0
2016-11-16,-87.5
2016-12-13,0.0
2017-11-02,-99.2
2018-01-18,9900.0
2019-01-04,-99.0
2019-05-14,0.0
2019-05-15,900.0
2020-05-21,-90.0
2020-05-27,900.0
