ticker,OESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-19,64.6923
2007-12-20,-7.2863
2007-12-21,-4.2821
2007-12-24,1.7894999999999999
2007-12-26,5.8945
2007-12-27,-2.3438
2007-12-28,-1.75
2007-12-31,-4.2239
2008-01-02,6.2699
2008-01-03,-0.5
2008-01-04,-2.0101
2008-01-07,-11.4359
2008-01-08,-0.579
2008-01-09,17.9383
2008-01-10,-1.2346
2008-01-11,-7.5
2008-01-14,1.1892
2008-01-15,-4.4872
2008-01-16,-1.9575
2008-01-17,0.5134
2008-01-18,-6.8672
2008-01-22,-2.4985
2008-01-23,-0.625
2008-01-24,-4.4025
2008-01-25,-7.8947
2008-01-28,-0.7152
2008-01-29,0.7203
2008-01-30,-0.8607
2008-01-31,-5.8323
2008-02-01,4.0551
2008-02-04,5.8824
2008-02-05,1.9444
2008-02-06,1.4986
2008-02-07,-42.8859
2008-02-08,6.933
2008-02-11,-1.0989
2008-02-12,-0.4444
2008-02-13,1.0045
2008-02-14,-3.5373
2008-02-15,-2.5187
2008-02-19,1.0576
2008-02-20,-5.4651
2008-02-21,2.952
2008-02-22,1.1947
2008-02-25,-1.2987
2008-02-26,-6.2201
2008-02-27,3.8265000000000002
2008-02-28,11.1794
2008-02-29,-0.3315
2008-03-03,12.4169
2008-03-04,-3.8462
2008-03-05,3.7949
2008-03-06,-3.1621
2008-03-07,-4.0816
2008-03-10,1.0638
2008-03-11,2.2105
2008-03-12,-1.0299
2008-03-13,-4.6826
2008-03-14,-0.1092
2008-03-17,-1.6393
2008-03-18,1.7778
2008-03-19,4.2576
2008-03-20,1.0471
2008-03-24,1.1399
2008-03-25,1.7418
2008-03-26,0.7049
2008-03-27,-1.5
2008-03-28,-1.4213
2008-03-31,-1.7508
2008-04-01,-0.3145
2008-04-02,1.1567
2008-04-03,16.8399
2008-04-04,-2.2242
2008-04-07,2.9116999999999997
2008-04-08,-7.3386
2008-04-09,-1.2405
2008-04-10,2.9952
2008-04-11,-4.2214
2008-04-14,-1.8609
2008-04-15,9.6806
2008-04-16,2.8207
2008-04-17,-0.0885
2008-04-18,5.4030000000000005
2008-04-21,0.7563
2008-04-22,2.0851
2008-04-23,-2.2059
2008-04-24,-3.4252000000000002
2008-04-25,-2.3356
2008-04-28,-0.2657
2008-04-29,1.1545
2008-04-30,-1.8437000000000001
2008-05-01,0.1789
2008-05-02,-2.9464
2008-05-05,-5.5198
2008-05-06,0.9737
2008-05-07,3.4716
2008-05-08,-1.4910999999999999
