ticker,RFP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-13,0.0
2010-12-14,0.0
2010-12-15,0.2299
2010-12-16,-0.2294
2010-12-17,2.069
2010-12-20,3.3784
2010-12-21,3.7037
2010-12-22,-0.2101
2010-12-23,0.4211
2010-12-27,-1.3417
2010-12-28,-0.1275
2010-12-29,0.2553
2010-12-30,-0.4244
2010-12-31,0.8951
2011-01-03,-0.9294
2011-01-04,-0.6823
2011-01-05,0.6441
2011-01-06,1.7497
2011-01-07,0.6284
2011-01-10,0.2917
2011-01-11,2.2019
2011-01-12,3.6585
2011-01-13,0.7451
2011-01-14,-1.3235000000000001
2011-01-18,5.1282
2011-01-19,0.4128
2011-01-20,-1.1958
2011-01-21,3.6309
2011-01-24,5.4745
2011-01-25,0.3114
2011-01-26,0.9659
2011-01-27,-1.7424
2011-01-28,-3.7552
2011-01-31,-2.3844
2011-02-01,-0.7032
2011-02-02,-0.1118
2011-02-03,-0.9328
2011-02-04,3.0885
2011-02-07,3.3064999999999998
2011-02-08,1.0433
2011-02-09,2.2401
2011-02-10,-0.7189
2011-02-11,1.6897
2011-02-14,1.7294
2011-02-15,-2.6667
2011-02-16,0.8904
2011-02-17,0.1018
2011-02-18,0.1356
2011-02-22,-4.978
2011-02-23,-2.9579
2011-02-24,2.0566
2011-02-25,0.6117
2011-02-28,0.1073
2011-03-01,-3.2512
2011-03-02,2.3634
2011-03-03,2.5613
2011-03-04,-0.3869
2011-03-07,0.2472
2011-03-08,0.8806
2011-03-09,-1.4316
2011-03-10,-4.9593
2011-03-11,1.0809
2011-03-14,0.0
2011-03-15,-0.8112
2011-03-16,-3.197
2011-03-17,-0.576
2011-03-18,2.781
2011-03-21,2.1796
2011-03-22,-0.5885
2011-03-23,-0.111
2011-03-24,-0.1481
2011-03-25,0.3338
2011-03-28,-0.5545
2011-03-29,0.3717
2011-03-30,0.1852
2011-03-31,-0.6654
2011-04-01,0.3349
2011-04-04,0.1113
2011-04-05,0.1112
2011-04-06,2.1095
2011-04-07,-0.3262
2011-04-08,-1.6726999999999999
2011-04-11,-1.5533000000000001
2011-04-12,-2.9677
2011-04-13,0.8517
2011-04-14,0.1152
2011-04-15,-0.5368
2011-04-18,-1.3878
2011-04-19,0.3909
2011-04-20,1.2461
2011-04-21,-0.0385
2011-04-25,-1.3082
2011-04-26,0.039
2011-04-27,2.4552
2011-04-28,2.9669
2011-04-29,-1.2929
2011-05-02,0.1497
2011-05-03,-1.1211
2011-05-04,-1.2094
