ticker,APAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-07,29.4333
2013-03-08,-0.4636
2013-03-11,-4.9418
2013-03-12,1.7692
2013-03-13,0.1605
2013-03-14,0.534
2013-03-15,-1.5936
2013-03-18,-0.4318
2013-03-19,-0.0271
2013-03-20,-0.1356
2013-03-21,2.498
2013-03-22,0.3179
2013-03-25,0.4489
2013-03-26,-0.184
2013-03-27,0.3424
2013-03-28,3.5433
2013-04-01,-0.1521
2013-04-02,0.7108
2013-04-03,0.4537
2013-04-04,-1.7566000000000002
2013-04-05,-2.963
2013-04-08,-0.5528
2013-04-09,-0.2647
2013-04-10,3.2909
2013-04-11,0.1542
2013-04-12,-1.0775
2013-04-15,-0.8558
2013-04-16,1.8049
2013-04-17,-2.1069
2013-04-18,-0.315
2013-04-19,-0.2633
2013-04-22,0.0792
2013-04-23,0.1319
2013-04-24,-0.922
2013-04-25,0.6647
2013-04-26,-0.7132
2013-04-29,-0.3724
2013-04-30,-0.4005
2013-05-01,5.8445
2013-05-02,1.3171
2013-05-03,1.825
2013-05-06,0.0246
2013-05-07,-0.3436
2013-05-08,-0.936
2013-05-09,1.9144999999999999
2013-05-10,5.7575
2013-05-13,1.9607999999999999
2013-05-14,4.5249
2013-05-15,3.5714
2013-05-16,0.5434
2013-05-17,0.9146
2013-05-20,1.5242
2013-05-21,1.5215999999999998
2013-05-22,-0.06
2013-05-23,-1.6597
2013-05-24,0.6913
2013-05-28,0.101
2013-05-29,-3.1672
2013-05-30,-1.3333
2013-05-31,-1.3302
2013-06-03,-0.2782
2013-06-04,0.279
2013-06-05,-0.4494
2013-06-06,0.9888
2013-06-07,2.6181
2013-06-10,8.8363
2013-06-11,0.7433
2013-06-12,-0.6432
2013-06-13,2.0564
2013-06-14,-1.0634
2013-06-17,1.056
2013-06-18,4.0306
2013-06-19,-0.0179
2013-06-20,-0.4126
2013-06-21,-1.4052
2013-06-24,-3.1244
2013-06-25,-3.3384
2013-06-26,-2.9073
2013-06-27,0.9847
2013-06-28,-0.6766
2013-07-01,0.9217
2013-07-02,0.0794
2013-07-03,0.4959
2013-07-05,-0.1579
2013-07-08,0.3756
2013-07-09,1.95
2013-07-10,1.6808
2013-07-11,0.342
2013-07-12,-1.7231999999999998
2013-07-15,1.1753
2013-07-16,-1.4283000000000001
2013-07-17,1.9127
2013-07-18,1.0995
2013-07-19,-0.1125
2013-07-22,0.6195
2013-07-23,-2.1082
2013-07-24,-1.3913
2013-07-25,3.5369
