ticker,NNFC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-12.069
2000-01-04,-3.9215999999999998
2000-01-05,10.2041
2000-01-06,-5.5556
2000-01-07,-13.7255
2000-01-10,10.2273
2000-01-11,-1.0309
2000-01-12,2.0833
2000-01-13,-12.2449
2000-01-14,13.9535
2000-01-18,-2.0408
2000-01-19,-10.4167
2000-01-20,-2.3256
2000-01-21,2.3810000000000002
2000-01-24,-6.9767
2000-01-25,-21.25
2000-01-26,4.7619
2000-01-27,33.3333
2000-01-28,0.0
2000-01-31,-27.2727
2000-02-01,15.625
2000-02-02,-2.7027
2000-02-03,0.0
2000-02-04,11.1111
2000-02-07,-10.0
2000-02-08,-8.3333
2000-02-09,6.0606
2000-02-10,-8.5714
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,-6.25
2000-02-16,0.0
2000-02-17,3.3333
2000-02-18,-16.129
2000-02-22,7.6923
2000-02-23,14.2857
2000-02-24,0.0
2000-02-25,-18.75
2000-02-28,-13.461500000000001
2000-02-29,-15.5556
2000-03-01,-10.526299999999999
2000-03-02,-5.8824
2000-03-03,9.375
2000-03-06,-5.7143
2000-03-07,-9.0909
2000-03-08,6.6667
2000-03-09,-3.125
2000-03-10,0.0
2000-03-13,0.0
2000-03-14,-9.6774
2000-03-15,10.7143
2000-03-16,0.0
2000-03-17,12.9032
2000-03-20,-20.0
2000-03-21,-3.5714
2000-03-22,11.1111
2000-03-23,0.0
2000-03-24,-6.6667
2000-03-27,7.1429
2000-03-28,-13.3333
2000-03-29,-7.6923
2000-03-30,-16.6667
2000-03-31,-15.0
2000-04-03,-29.4118
2000-04-04,-33.3333
2000-04-05,0.0
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,37.5
2000-04-11,-27.2727
2000-04-13,-25.0
2000-04-14,0.0
2000-04-17,66.6667
2000-04-18,-20.0
2000-04-19,12.5
2000-04-20,33.3333
2000-04-24,-16.6667
2000-04-26,-40.0
2000-04-27,33.3333
2000-04-28,-25.0
2000-05-01,0.0
2000-05-03,1.3333
2000-05-04,31.5789
2000-05-05,-50.0
2000-05-08,0.0
2000-05-11,0.0
2000-05-12,0.0
2000-05-15,0.0
2000-05-17,0.0
2000-05-19,4.0
2000-05-22,-23.0769
2000-05-23,0.0
2000-05-24,525.0
2000-05-26,-68.0
2000-06-01,0.0
2000-06-05,0.0
2000-06-06,-10.0
2000-06-07,4.1667
2000-06-08,6.6667
2000-06-09,0.0
2000-06-12,290.0
2000-06-13,-74.359
