ticker,SEDG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-03-26,15.0
2015-03-27,1.7873999999999999
2015-03-30,4.7461
2015-03-31,-0.6343
2015-04-01,1.4136
2015-04-02,3.732
2015-04-06,-2.5574
2015-04-07,3.2473
2015-04-08,2.1973
2015-04-09,2.3609
2015-04-10,-0.6178
2015-04-13,0.8288
2015-04-14,0.7398
2015-04-15,-1.1424
2015-04-16,5.0351
2015-04-17,-2.7504999999999997
2015-04-20,-0.5455
2015-04-21,-3.7984999999999998
2015-04-22,0.549
2015-04-23,4.1159
2015-04-24,0.4034
2015-04-27,2.2096999999999998
2015-04-28,4.5597
2015-04-29,-3.2331
2015-04-30,-2.8749000000000002
2015-05-01,7.08
2015-05-04,6.8734
2015-05-05,-3.7749
2015-05-06,-5.267
2015-05-07,1.1887
2015-05-08,17.8477
2015-05-11,9.1961
2015-05-12,0.53
2015-05-13,-5.6239
2015-05-14,6.1763
2015-05-15,9.1786
2015-05-18,-0.3213
2015-05-19,-4.1364
2015-05-20,0.4483
2015-05-21,-1.1994
2015-05-22,-3.3879
2015-05-26,5.1432
2015-05-27,1.9733
2015-05-28,3.3524
2015-05-29,-1.2658
2015-06-01,6.8376
2015-06-02,-6.375
2015-06-03,2.8304
2015-06-04,5.9725
2015-06-05,-3.504
2015-06-08,-1.8029
2015-06-09,0.3362
2015-06-10,-1.1598
2015-06-11,0.6519
2015-06-12,-3.886
2015-06-15,1.159
2015-06-16,3.6771000000000003
2015-06-17,1.542
2015-06-18,-0.7846
2015-06-19,7.6531
2015-06-22,-6.3744
2015-06-23,-0.2025
2015-06-24,0.3297
2015-06-25,-1.365
2015-06-26,-2.1527
2015-06-29,-6.5741
2015-06-30,1.9064
2015-07-01,0.9078
2015-07-02,-1.6085
2015-07-06,-9.1438
2015-07-07,-6.3129
2015-07-08,-10.5469
2015-07-09,1.5648
2015-07-10,14.2601
2015-07-13,4.8605
2015-07-14,-2.811
2015-07-15,-1.2923
2015-07-16,-0.5611
2015-07-17,-1.7241
2015-07-20,2.2329
2015-07-21,-5.8346
2015-07-22,-3.0152
2015-07-23,-0.5466
2015-07-24,1.1336
2015-07-27,-4.9253
2015-07-28,7.6813
2015-07-29,2.1898
2015-07-30,1.7208
2015-07-31,-1.4682
2015-08-03,1.3929
2015-08-04,-5.0479
2015-08-05,3.4657
2015-08-06,-10.8943
2015-08-07,4.3431
2015-08-10,-2.6583
2015-08-11,0.6109
2015-08-12,8.2143
2015-08-13,-10.033
