ticker,BMXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-18,0.5714
2015-06-22,1.1364
2015-06-26,0.0
2015-06-29,71.3483
2015-06-30,104.918
2015-07-01,40.0
2015-07-02,0.0
2015-07-06,268.5714
2015-07-07,-7.7519
2015-07-08,1.6806999999999999
2015-07-09,5.7851
2015-07-10,9.375
2015-07-14,-7.1429
2015-07-15,0.0
2015-07-16,7.6923
2015-07-28,0.0
2015-07-30,-14.2857
2015-07-31,4.1667
2015-08-03,-0.8
2015-08-04,12.9032
2015-08-06,0.7143
2015-08-11,0.0
2015-08-12,0.0
2015-08-14,6.383
2015-08-17,1.3333
2015-08-18,-3.2895
2015-08-19,-38.7755
2015-08-20,-5.5556
2015-08-21,-11.7647
2015-08-31,-20.0
2015-09-09,13.3333
2015-09-15,2.9412000000000003
2015-09-16,-12.857099999999999
2015-09-17,21.3115
2015-09-18,-12.8378
2015-09-21,-22.4806
2015-09-23,0.0
2015-10-13,2.0
2015-10-14,-27.451
2015-10-15,-62.1622
2015-10-16,4.2857
2015-10-19,-23.2877
2015-10-20,0.0
2015-10-21,-55.3571
2015-10-23,20.0
2015-10-26,100.0
2015-10-27,16.6667
2015-10-28,-60.7143
2015-10-29,0.0
2015-10-30,-18.1818
2015-11-03,126.6667
2015-11-04,-1.9607999999999999
2015-11-05,120.0
2015-11-06,25.0
2015-11-09,81.7727
2015-11-10,4.026
2015-11-12,-3.8462
2015-11-13,2.0
2015-11-16,0.0
2015-11-18,-1.9607999999999999
2015-11-19,0.0
2015-11-20,-40.0
2015-11-23,-3.3333
2015-11-27,0.0
2015-12-03,-13.7931
2015-12-04,-4.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-15,0.0
2015-12-23,4.1667
2015-12-24,0.0
2015-12-29,-20.05
2015-12-30,25.0156
2015-12-31,-24.037
2016-01-04,5.3013
2016-01-05,0.0
2016-01-06,-47.6235
2016-01-07,17.0149
2016-01-08,6.0204
2016-01-11,-16.0731
2016-01-12,-0.4587
2016-01-13,0.4608
2016-01-14,9.9771
2016-01-21,18.9781
2016-01-22,-12.4452
2016-01-26,-0.0501
2016-01-27,-27.8918
2016-01-28,-5.5556
2016-01-29,0.0
2016-02-01,-5.8824
2016-02-02,12.5
2016-02-03,16.6667
2016-02-04,4.7619
2016-02-05,0.4545
2016-02-08,8.4842
2016-02-09,0.1564
2016-02-10,7.444
2016-02-11,2.3256
2016-02-12,-5.303
2016-02-16,4.0
2016-02-17,1.5385
