ticker,RMRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-29,37.6147
2010-02-04,10.0
2010-03-15,142.4242
2010-03-16,5.0
2010-03-17,19.0476
2010-03-22,99.0
2010-03-29,0.0
2010-04-08,3.5176
2010-05-04,-2.9126
2010-05-05,0.0
2010-05-07,0.0
2010-05-14,0.0
2010-05-24,-5.0
2010-05-28,0.0
2010-06-01,5.2632
2010-06-04,0.0
2010-06-08,0.0
2010-06-11,1.0
2010-06-22,-58.4158
2010-06-23,0.0
2010-06-24,-4.7619
2010-06-28,0.0
2010-06-29,0.0
2010-07-06,0.0
2010-07-12,0.0
2010-07-15,0.0
2010-07-16,5.0
2010-07-19,0.0
2010-07-21,-4.7619
2010-07-27,0.0
2010-07-28,1.25
2010-07-29,3.7037
2010-07-30,0.0
2010-08-02,7.1429
2010-08-03,-15.5556
2010-08-04,-2.6316
2010-08-05,-12.1622
2010-08-06,5.2308
2010-08-09,-12.2807
2010-08-10,-26.6667
2010-08-11,36.3636
2010-08-12,-10.0
2010-08-16,-7.4074
2010-08-17,-16.0
2010-08-19,-28.5714
2010-08-20,53.3333
2010-08-24,-34.7826
2010-08-25,-32.6667
2010-08-26,-0.9901
2010-08-27,75.0
2010-08-30,2.8571
2010-08-31,-12.7778
2010-09-02,-29.9363
2010-09-03,32.7273
2010-09-07,0.0
2010-09-08,-32.1918
2010-09-09,21.2121
2010-09-10,-25.0
2010-09-13,-11.1111
2010-09-16,-12.5
2010-09-17,71.4286
2010-09-21,0.0
2010-09-22,0.0
2010-09-24,0.0
2010-09-28,0.0
2010-09-30,-33.3333
2010-10-11,-12.5
2010-10-14,0.0
2010-10-15,71.4286
2010-10-21,-41.6667
2010-11-01,0.0
2010-11-02,0.0
2010-11-03,0.0
2010-11-05,0.0
2010-11-11,-14.2857
2010-11-16,1.6667
2010-11-17,-0.6148
2010-11-18,64.9485
2010-11-19,20.0
2010-11-29,16.6667
2010-11-30,0.0
2010-12-01,-14.2857
2010-12-02,-16.6667
2010-12-03,0.0
2010-12-06,-29.875
2010-12-07,-14.4385
2010-12-08,-30.0
2010-12-09,-33.3333
2010-12-10,17.8571
2010-12-13,-12.1212
2010-12-14,55.1724
2010-12-15,35.5556
2010-12-16,-4.918
2010-12-17,-18.9655
2010-12-20,-14.8936
2010-12-21,-5.0
2010-12-22,5.2632
2010-12-23,0.3125
2010-12-27,-0.3115
2010-12-28,0.0
2010-12-29,0.0
2010-12-30,-12.5
2010-12-31,2.8571
