ticker,REEMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-14,-7.1429
2004-06-16,7.6923
2004-08-06,57.1429
2004-08-09,-10.5966
2004-08-12,11.8526
2004-08-13,-9.0909
2004-08-16,5.0
2004-08-19,-3.8095
2004-08-26,11.3861
2004-09-01,-14.6667
2004-09-07,35.4167
2004-09-09,0.0
2004-09-14,32.6923
2004-11-04,-2.3188
2004-11-22,-12.4629
2004-11-29,6.7797
2005-01-24,-26.3492
2005-02-03,-0.8621
2005-02-04,-8.6957
2005-02-07,9.5238
2005-02-28,-10.8696
2005-03-01,-2.439
2005-03-02,5.0
2005-03-04,7.1429
2005-03-07,4.4444
2005-03-08,0.0
2005-03-09,0.0
2005-03-11,-8.5106
2005-03-15,0.0
2005-04-05,-9.3023
2005-04-08,0.0
2005-05-20,-35.8974
2005-08-15,52.0
2005-09-16,-16.8421
2005-09-29,0.0
2005-10-17,3.7975
2005-11-22,40.2439
2005-11-23,-1.3043
2005-11-25,-3.5242
2005-11-28,-5.9361
2005-11-29,-8.2524
2005-11-30,15.873
2005-12-01,-0.4566
2005-12-02,-3.6696999999999997
2005-12-05,12.5595
2005-12-06,3.6489000000000003
2005-12-07,8.1633
2005-12-08,-7.1698
2005-12-09,17.8862
2005-12-12,5.819
2005-12-13,11.833
2005-12-14,-3.8427
2005-12-15,1.2121
2005-12-16,3.2934
2005-12-19,-8.6957
2005-12-20,1.746
2005-12-21,1.7161
2005-12-22,-3.3742
2005-12-23,1.5873
2005-12-28,0.0
2005-12-29,9.5312
2005-12-30,4.1369
2006-01-03,-4.1096
2006-01-04,8.625
2006-01-05,-10.5704
2006-01-09,9.1176
2006-01-10,-1.0782
2006-01-11,6.7097999999999995
2006-01-12,-6.2879
2006-01-13,0.545
2006-01-17,8.4011
2006-01-18,-3.75
2006-01-19,24.6753
2006-01-20,4.375
2006-01-23,-3.1936
2006-01-24,-1.0309
2006-01-25,-1.0417
2006-01-26,0.0
2006-01-27,2.1053
2006-01-30,1.0309
2006-02-01,-10.2041
2006-02-02,-13.8636
2006-02-03,5.5079
2006-02-06,-0.4689
2006-02-07,-2.0101
2006-02-09,-2.5641
2006-02-10,7.8947
2006-02-13,0.0
2006-02-15,-12.1951
2006-02-16,5.5556
2006-02-17,-3.125
2006-02-21,3.2258
2006-02-22,1.3158
2006-02-23,3.8961
2006-02-24,2.5
2006-03-01,12.1951
2006-03-02,-7.6087
2006-03-03,-0.2353
2006-03-07,0.9434
2006-03-14,16.822400000000002
