ticker,TRMB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,15.0289
2000-01-04,-1.7588
2000-01-05,-6.266
2000-01-06,0.955
2000-01-07,0.0
2000-01-10,6.4865
2000-01-11,0.5076
2000-01-12,-4.798
2000-01-13,4.244
2000-01-14,-6.1068999999999996
2000-01-18,1.626
2000-01-19,1.3333
2000-01-20,1.5789
2000-01-21,-0.2591
2000-01-24,2.3377
2000-01-25,-2.5381
2000-01-26,0.2604
2000-01-27,-4.4156
2000-01-28,-10.1902
2000-01-31,-8.0182
2000-02-01,8.223700000000001
2000-02-02,-0.304
2000-02-03,1.5244
2000-02-04,6.9069
2000-02-07,0.8427
2000-02-08,1.9499
2000-02-09,-1.9125999999999999
2000-02-10,-8.078
2000-02-11,-4.8485
2000-02-14,0.6369
2000-02-15,0.6329
2000-02-16,1.5723
2000-02-17,4.0248
2000-02-18,-4.7619
2000-02-22,4.375
2000-02-23,2.6946
2000-02-24,6.1224
2000-02-25,2.4725
2000-02-28,-3.4853
2000-02-29,6.6667
2000-03-01,-2.8646000000000003
2000-03-02,-1.8767
2000-03-03,7.1038
2000-03-06,12.2449
2000-03-07,10.0
2000-03-08,-4.3388
2000-03-09,-1.9438
2000-03-10,3.9648
2000-03-13,-0.4237
2000-03-14,-6.383
2000-03-15,-3.4091
2000-03-16,1.6471
2000-03-17,-1.1574
2000-03-20,-9.8361
2000-03-21,5.974
2000-03-22,-1.9607999999999999
2000-03-23,0.0
2000-03-24,-1.0
2000-03-27,-0.7576
2000-03-28,9.4148
2000-03-29,-5.5814
2000-03-30,-2.4631
2000-03-31,4.0404
2000-04-03,-10.4369
2000-04-04,-14.3631
2000-04-05,14.2405
2000-04-06,6.9252
2000-04-07,0.7772
2000-04-10,-6.4267
2000-04-11,-8.5165
2000-04-12,-3.6036
2000-04-13,-0.3115
2000-04-14,-7.8125
2000-04-17,10.5085
2000-04-18,-2.454
2000-04-19,-1.8868
2000-04-20,29.1667
2000-04-24,0.2481
2000-04-25,7.4257
2000-04-26,-3.6866
2000-04-27,-0.4785
2000-04-28,6.25
2000-05-01,11.3122
2000-05-02,4.6748
2000-05-03,-4.2718
2000-05-04,13.5903
2000-05-05,2.8571
2000-05-08,-4.1667
2000-05-09,-3.9855
2000-05-10,-3.3962
2000-05-11,6.6406
2000-05-12,5.4945
2000-05-15,0.5208
2000-05-16,4.8359
2000-05-17,5.7661
2000-05-18,-0.6231
2000-05-19,-5.1724
2000-05-22,-6.1157
