ticker,ECRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-15,0.0
2005-02-16,1.4815
2005-02-17,0.0
2005-02-18,-1.4599
2005-02-22,-3.5556
2005-02-23,1.3825
2005-02-24,0.0
2005-02-25,-0.9091
2005-02-28,-1.3761
2005-03-01,0.3101
2005-03-02,0.4637
2005-03-03,3.6923
2005-03-04,-1.3353
2005-03-07,0.0
2005-03-08,-1.8045
2005-03-09,-1.5314
2005-03-10,0.4666
2005-03-11,-1.7027999999999999
2005-03-14,-0.7874
2005-03-15,0.0
2005-03-16,-1.1111
2005-03-17,-0.4815
2005-03-18,-0.8065
2005-03-21,-2.439
2005-03-22,-1.6667
2005-03-23,-0.8475
2005-03-24,1.8803
2005-03-28,0.6711
2005-03-29,1.6667
2005-03-30,1.8033000000000001
2005-03-31,-3.3816
2005-04-01,-4.8333
2005-04-04,-5.2539
2005-04-05,0.3697
2005-04-06,1.2891
2005-04-07,3.0909
2005-04-08,-3.5273
2005-04-11,2.3766
2005-04-12,1.7856999999999998
2005-04-13,-1.7544
2005-04-14,-0.8929
2005-04-15,-0.7207
2005-04-18,-3.8113
2005-04-19,-0.1887
2005-04-20,-0.7561
2005-04-21,2.6667
2005-04-22,-3.5714
2005-04-25,3.5088
2005-04-26,0.0
2005-04-27,0.0
2005-04-28,-2.2599
2005-04-29,0.1927
2005-05-02,1.9231
2005-05-03,-1.8868
2005-05-04,0.1923
2005-05-05,5.7582
2005-05-06,-0.1815
2005-05-09,3.6364
2005-05-10,1.7544
2005-05-11,-5.0
2005-05-12,-4.7187
2005-05-13,-1.1429
2005-05-16,2.5048
2005-05-17,5.2632
2005-05-18,1.6071
2005-05-19,-1.5817
2005-05-20,0.7143
2005-05-23,0.1773
2005-05-24,1.0619
2005-05-25,0.8757
2005-05-26,3.8194
2005-05-27,1.3378
2005-05-31,-0.8251
2005-06-01,3.1614
2005-06-02,-0.6452
2005-06-03,4.5455
2005-06-06,0.1553
2005-06-07,-1.3953
2005-06-08,-0.3145
2005-06-09,3.4699999999999998
2005-06-10,-0.7622
2005-06-13,-0.768
2005-06-14,-0.1548
2005-06-15,1.5504
2005-06-16,0.6107
2005-06-17,0.1517
2005-06-20,-1.6667
2005-06-21,-3.698
2005-06-22,1.28
2005-06-23,-2.3697
2005-06-24,3.5599
2005-06-27,-1.25
2005-06-28,4.7468
2005-06-29,-0.1511
2005-06-30,0.7564
2005-07-01,0.6006
2005-07-05,1.9403000000000001
2005-07-06,-3.6603
