ticker,TDOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-01,50.0
2015-07-02,-1.7544
2015-07-06,-4.6786
2015-07-07,1.199
2015-07-08,-2.8138
2015-07-09,1.5619
2015-07-10,9.8275
2015-07-13,5.7377
2015-07-14,3.23
2015-07-15,-3.9737
2015-07-16,0.8472
2015-07-17,-1.1309
2015-07-20,-2.3203
2015-07-21,2.0408
2015-07-22,1.9344000000000001
2015-07-23,-1.7691
2015-07-24,5.2718
2015-07-27,-2.6128
2015-07-28,-1.5331000000000001
2015-07-29,2.4003
2015-07-30,-2.0906
2015-07-31,2.1352
2015-08-03,5.1631
2015-08-04,4.8795
2015-08-05,-5.0546
2015-08-06,-2.9946
2015-08-07,-3.8665000000000003
2015-08-10,-1.1677
2015-08-11,-5.6121
2015-08-12,-0.8693
2015-08-13,4.4897
2015-08-14,-4.2632
2015-08-17,2.4895
2015-08-18,-3.1817
2015-08-19,-5.1237
2015-08-20,-1.3035
2015-08-21,-3.2453
2015-08-24,-6.8643
2015-08-25,-2.8476
2015-08-26,8.9655
2015-08-27,3.3623
2015-08-28,6.085
2015-08-31,-7.1429
2015-09-01,-11.2277
2015-09-02,-3.0635
2015-09-03,1.1738
2015-09-04,-7.095
2015-09-08,-1.3929
2015-09-09,9.888
2015-09-10,1.8617
2015-09-11,2.2628
2015-09-14,-1.8298
2015-09-15,-0.3468
2015-09-16,-4.0452
2015-09-17,0.408
2015-09-18,-0.8578
2015-09-21,1.275
2015-09-22,10.1619
2015-09-23,-0.1633
2015-09-24,-0.5315
2015-09-25,-8.1381
2015-09-28,-7.6957
2015-09-29,1.7934999999999999
2015-09-30,6.1429
2015-10-01,2.3329
2015-10-02,-20.0351
2015-10-05,-4.1118
2015-10-06,-4.8599
2015-10-07,-2.4638999999999998
2015-10-08,3.512
2015-10-09,2.6786
2015-10-12,4.5217
2015-10-13,-0.1664
2015-10-14,0.4444
2015-10-15,0.2212
2015-10-16,-0.6623
2015-10-19,1.1667
2015-10-20,-2.0319
2015-10-21,4.204
2015-10-22,-7.1006
2015-10-23,5.3850999999999996
2015-10-26,1.2088
2015-10-27,2.823
2015-10-28,5.9662
2015-10-29,-1.9929999999999999
2015-10-30,0.0
2015-11-02,-0.4067
2015-11-03,-10.2093
2015-11-04,-2.274
2015-11-05,-6.9226
2015-11-06,-2.4375
2015-11-09,3.7796
2015-11-10,-2.2222
2015-11-11,2.5884
2015-11-12,6.8308
2015-11-13,1.2673
2015-11-16,3.6974
