ticker,PGLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-27,0.0
2013-03-27,50.0
2013-04-05,0.0
2013-04-08,-33.3333
2013-04-22,-37.5
2013-07-23,-56.0
2013-10-15,-45.4545
2013-10-18,-16.6667
2013-10-21,45.6
2013-10-22,14.011
2013-10-23,2.4096
2013-10-24,-8.2353
2013-10-25,1.0256
2013-10-28,3.8071
2013-10-29,10.7579
2013-10-30,10.3753
2013-10-31,14.6
2013-11-01,28.4686
2013-11-04,16.1318
2013-11-05,-33.0896
2013-11-06,-48.951
2013-11-07,-14.3836
2013-11-08,27.6
2013-11-11,6.6223
2013-11-12,2.9032999999999998
2013-11-13,0.0
2013-11-14,25.7143
2013-11-15,29.5455
2013-11-18,17.5439
2013-11-19,-39.8507
2013-11-20,5.4591
2013-11-21,-0.2353
2013-11-22,-5.6604
2013-11-25,-0.5
2013-11-26,-10.5528
2013-11-27,-5.8989
2013-11-29,0.8955
2013-12-02,2.071
2013-12-03,-2.3188
2013-12-04,12.7596
2013-12-05,-5.2632
2013-12-06,0.0
2013-12-09,-8.0556
2013-12-10,-4.8338
2013-12-11,-1.5873
2013-12-12,-1.9355
2013-12-13,-5.5921
2013-12-16,4.1812
2013-12-17,7.0234
2013-12-18,10.625
2013-12-19,-5.0847
2013-12-20,-10.7143
2013-12-23,-1.6667
2013-12-24,-8.4746
2013-12-26,-2.963
2013-12-27,-4.1985
2013-12-30,3.1873
2013-12-31,-3.0888
2014-01-02,1.5936
2014-01-03,-1.1764999999999999
2014-01-06,9.127
2014-01-07,-12.7273
2014-01-08,-9.1667
2014-01-09,-3.6696999999999997
2014-01-10,2.3810000000000002
2014-01-13,-16.2791
2014-01-14,-5.5556
2014-01-15,2.3529
2014-01-16,-6.25
2014-01-17,56.3218
2014-01-21,-5.8824
2014-01-22,-5.8333
2014-01-23,-1.3274
2014-01-24,-0.5045
2014-01-27,-0.8451
2014-01-28,4.5455
2014-01-29,3.4783
2014-01-30,5.042
2014-01-31,4.0
2014-02-03,-13.0769
2014-02-04,5.7522
2014-02-05,-8.3682
2014-02-06,2.7397
2014-02-07,2.1667
2014-02-10,-7.776
2014-02-11,3.7736
2014-02-12,0.0
2014-02-13,6.8182
2014-02-14,-3.8298
2014-02-18,-1.7699
2014-02-19,1.3514
2014-02-20,-1.7778
2014-02-21,-0.4525
2014-02-24,-4.5455
2014-02-25,-3.8095
2014-02-26,-3.4653
2014-02-27,-4.6154
2014-02-28,-2.6882
2014-03-03,-3.3149
