ticker,VRCV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,4.1667
2011-11-10,24.0
2011-11-11,0.0
2011-11-15,-34.8387
2011-11-16,53.4653
2011-11-21,-19.3548
2011-11-23,-17.6
2011-11-30,17.4757
2011-12-01,0.0
2011-12-02,-0.8264
2011-12-05,0.0
2011-12-06,-6.6667
2011-12-07,4.4643
2011-12-09,-5.1282
2011-12-13,3.6036
2011-12-15,1.7391
2011-12-16,-35.8974
2011-12-20,66.6667
2011-12-22,0.0
2011-12-30,-59.2
2012-01-05,0.0
2012-01-06,0.0
2012-01-10,0.0
2012-01-12,0.0
2012-01-13,-39.2157
2012-01-18,64.5161
2012-01-24,-11.7647
2012-02-07,15.5556
2012-02-09,1.9231
2012-02-10,0.0
2012-02-13,0.0
2012-02-14,-5.6604
2012-02-15,-20.0
2012-02-16,-2.5
2012-02-17,-7.6923
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,5.5556
2012-02-28,1.3158
2012-02-29,1.2987
2012-03-01,0.0
2012-03-02,0.0
2012-03-05,3.8462
2012-03-07,-1.2346
2012-03-08,0.0
2012-03-12,0.0
2012-03-13,-7.5
2012-03-14,2.7027
2012-03-15,2.6316
2012-03-16,0.0
2012-03-19,12.0513
2012-03-20,-1.6018
2012-03-21,-4.6512
2012-03-22,0.0
2012-03-23,0.0
2012-03-26,0.0
2012-03-27,-9.7561
2012-03-28,8.1081
2012-03-30,-7.5
2012-04-02,0.0
2012-04-03,0.0
2012-04-10,0.0
2012-04-13,-5.4054
2012-04-16,5.7143
2012-04-23,-31.0811
2012-04-24,37.2549
2012-04-25,-2.8571
2012-04-26,0.0
2012-04-27,5.8824
2012-04-30,-29.1667
2012-05-01,25.4902
2012-05-02,-6.25
2012-05-07,-10.0
2012-05-08,0.0
2012-05-11,0.0
2012-05-14,-3.7037
2012-05-17,30.7692
2012-05-21,-2.9412000000000003
2012-05-25,0.0
2012-05-29,-12.1212
2012-05-30,13.7931
2012-05-31,3.0303
2012-06-01,0.0
2012-06-04,-2.9412000000000003
2012-06-05,21.2121
2012-06-06,10.0
2012-06-15,-9.0909
2012-06-18,-10.0
2012-06-20,11.1111
2012-06-21,-7.5
2012-06-22,-5.4054
2012-06-26,-20.0
2012-06-28,-10.7589
2012-07-05,12.056
2012-07-06,0.0
2012-07-10,-10.7143
2012-07-19,16.0
2012-08-03,-37.931
2012-08-07,-16.6667
2012-08-13,6.6667
2012-08-15,-37.5
