ticker,OPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-03,-2.65
2009-06-04,-1.6436
2009-06-05,1.8277
2009-06-08,-0.8718
2009-06-09,-2.6384
2009-06-10,-1.2221
2009-06-11,1.1296
2009-06-12,-1.0638
2009-06-15,1.8817
2009-06-16,1.847
2009-06-17,0.0
2009-06-18,0.5181
2009-06-19,1.3918
2009-06-22,1.4235
2009-06-23,-0.3509
2009-06-24,0.7243
2009-06-25,0.0799
2009-06-26,1.0479
2009-06-29,0.7407
2009-06-30,0.6373
2009-07-01,-0.4871
2009-07-02,-2.1047
2009-07-06,-1.45
2009-07-07,1.6235
2009-07-08,-1.3979
2009-07-09,-1.1139000000000001
2009-07-10,-0.0512
2009-07-13,-1.4344000000000001
2009-07-14,0.052
2009-07-15,0.2597
2009-07-16,-0.4145
2009-07-17,1.9771
2009-07-20,0.4592
2009-07-21,0.6094
2009-07-22,-2.0697
2009-07-23,0.3093
2009-07-24,3.2888
2009-07-27,-1.8408
2009-07-28,-0.1521
2009-07-29,-1.7766
2009-07-30,1.292
2009-07-31,0.1531
2009-08-03,-0.1528
2009-08-04,0.8673
2009-08-05,1.5175
2009-08-06,-0.0498
2009-08-07,0.2094
2009-08-10,1.3332
2009-08-11,0.6873
2009-08-12,-0.6338
2009-08-13,0.8342
2009-08-14,-0.1946
2009-08-17,-1.2189
2009-08-18,-0.3949
2009-08-19,-0.3964
2009-08-20,1.99
2009-08-21,7.2683
2009-08-24,-2.2283
2009-08-25,0.4651
2009-08-26,-0.3241
2009-08-27,-1.0218
2009-08-28,1.3139
2009-08-31,-1.2043
2009-09-01,0.0938
2009-09-02,-0.4215
2009-09-03,0.8937
2009-09-04,1.958
2009-09-08,2.7892
2009-09-09,0.0445
2009-09-10,1.5562
2009-09-11,-0.1751
2009-09-14,-0.2193
2009-09-15,-1.8022
2009-09-16,-0.8953
2009-09-17,2.3487
2009-09-18,3.1774
2009-09-21,-2.4808
2009-09-22,0.9211
2009-09-23,2.3903
2009-09-24,0.4669
2009-09-25,-3.3798
2009-09-28,2.6672000000000002
2009-09-29,1.6183999999999998
2009-09-30,0.6287
2009-10-01,-1.8326
2009-10-02,0.3394
2009-10-05,0.4228
2009-10-06,3.1579
2009-10-07,-3.0612
2009-10-08,-5.3895
2009-10-09,-1.5131000000000001
2009-10-12,5.061
2009-10-13,2.1935000000000002
2009-10-14,0.2946
2009-10-15,0.0
2009-10-16,-1.133
2009-10-19,0.8913
2009-10-20,0.2524
