ticker,ECEZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-03,19900.0
2014-09-04,0.0
2014-09-05,12.5
2014-09-08,13.3333
2014-09-09,5.8824
2014-09-10,11.1111
2014-09-12,-40.0
2014-09-16,38.8889
2014-09-22,-20.0
2014-10-29,15.0
2014-10-30,-4.3478
2014-10-31,0.0
2014-11-10,22.7273
2014-11-11,-3.7037
2014-11-12,3.8462
2014-11-13,0.0
2014-11-14,-5.5556
2014-11-17,1.5686
2014-11-18,-4.2471
2014-11-19,-1.2097
2014-11-20,-1.6327
2014-11-21,-0.4149
2014-11-24,6.25
2014-11-25,-1.9607999999999999
2014-11-26,0.0
2014-11-28,20.0
2014-12-01,1.6667
2014-12-04,-1.6393
2014-12-05,6.6667
2014-12-08,3.125
2014-12-09,0.0
2014-12-10,-20.9091
2014-12-11,0.0
2014-12-12,-0.3831
2014-12-15,0.0
2014-12-16,11.538499999999999
2014-12-17,0.0
2014-12-22,-10.3017
2014-12-23,15.3292
2014-12-26,-5.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,5.2632
2015-01-02,-11.625
2015-01-05,37.6709
2015-01-06,24.6575
2015-01-07,12.0879
2015-01-08,0.0
2015-01-09,18.6275
2015-01-12,14.0496
2015-01-13,-24.6377
2015-01-14,9.6154
2015-01-15,14.0351
2015-01-16,0.0
2015-01-20,-30.6154
2015-01-23,-0.2217
2015-01-28,0.0
2015-02-02,0.0
2015-02-03,22.2222
2015-02-04,1.7273
2015-02-05,-5.2726
2015-02-06,-3.7736
2015-02-09,0.9804
2015-02-10,4.8544
2015-02-11,1.8519
2015-02-12,2.7273
2015-02-13,-0.885
2015-02-17,0.0
2015-02-18,-11.607099999999999
2015-02-19,-1.0101
2015-02-20,8.1633
2015-02-23,1.8868
2015-02-24,-7.8704
2015-02-25,-0.5025
2015-02-26,1.0101
2015-02-27,10.0
2015-03-02,-5.4545
2015-03-03,-1.9231
2015-03-04,7.8431
2015-03-05,1.8182
2015-03-06,-7.1205
2015-03-09,5.7198
2015-03-10,0.0227
2015-03-11,0.0
2015-03-12,0.0
2015-03-13,10.9091
2015-03-16,-4.918
2015-03-17,-12.069
2015-03-18,9.8039
2015-03-19,-9.8214
2015-03-20,0.9901
2015-03-23,7.8431
2015-03-24,-7.2727
2015-03-25,1.9607999999999999
2015-03-26,1.9231
2015-03-27,9.434
2015-03-30,-5.1509
2015-03-31,0.1591
2015-04-01,1.6107
2015-04-02,-1.7638
2015-04-06,9.0909
