ticker,CSGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-13,0.0
2006-09-14,-51.1111
2006-10-03,-52.7273
2006-10-06,5.7692
2006-10-10,-27.2727
2006-10-11,-12.5
2006-10-16,-28.5714
2006-10-23,0.0
2006-11-15,220.0
2006-11-16,-36.25
2006-11-17,-21.5686
2006-11-20,0.0
2006-11-24,-25.0
2006-11-27,0.0
2006-11-28,10.0
2006-11-30,-9.0909
2006-12-01,-36.6667
2006-12-12,0.0
2006-12-21,31.5789
2006-12-22,20.0
2007-01-10,0.0
2007-01-12,16.6667
2007-01-16,-8.5714
2007-01-17,25.0
2007-01-18,-12.5
2007-01-19,14.2857
2007-01-23,12.5
2007-01-24,0.0
2007-01-26,0.0
2007-01-30,0.0
2007-01-31,0.0
2007-02-01,13.3333
2007-02-02,7.8431
2007-02-05,0.0
2007-02-06,0.0
2007-02-07,9.0909
2007-02-08,16.6667
2007-02-09,0.0
2007-02-12,0.0
2007-02-13,0.0
2007-02-20,0.0
2007-02-21,7.1429
2007-02-22,0.0
2007-02-23,0.0
2007-02-26,-1.3333
2007-03-01,29.7297
2007-03-07,-32.2917
2007-03-08,-18.4615
2007-03-09,5.6604
2007-03-12,7.1429
2007-03-13,50.0
2007-03-14,0.0
2007-03-15,8.8889
2007-03-16,-8.1633
2007-03-20,5.5556
2007-03-21,-1.0526
2007-03-22,0.0
2007-03-23,1.0638
2007-03-26,-3.1579
2007-03-27,0.0
2007-03-28,0.0
2007-03-30,0.0
2007-04-02,0.0
2007-04-03,-2.1739
2007-04-09,-2.2222
2007-04-10,2.2727
2007-04-11,0.0
2007-04-12,0.0
2007-04-13,0.0
2007-04-16,-1.1111
2007-04-18,1.1236
2007-04-25,-16.6667
2007-04-30,0.0
2007-05-07,-25.3333
2007-05-08,21.4286
2007-05-09,32.3529
2007-05-10,0.0
2007-05-11,-1.1111
2007-05-15,1.1236
2007-05-18,-27.7778
2007-05-21,36.9231
2007-05-25,23.5955
2007-05-29,-18.1818
2007-05-30,12.2222
2007-05-31,-0.9901
2007-06-01,-9.9875
2007-06-04,5.5409
2007-06-05,0.0
2007-06-06,0.0
2007-06-07,-5.2632
2007-06-11,5.5556
2007-06-13,0.0
2007-06-14,-5.2632
2007-06-18,0.0
2007-06-19,0.0
2007-06-20,12.2222
2007-06-21,-0.9901
2007-06-22,0.0
2007-06-26,-20.0
2007-06-27,0.0
2007-06-28,6.25
2007-06-29,-5.8824
2007-07-02,-6.25
2007-07-05,-26.6667
