ticker,TRXA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-10,54.2857
2009-06-12,0.0
2009-07-15,-44.4444
2009-07-21,0.0
2009-07-28,-16.6667
2009-07-30,0.0
2009-08-17,-80.0
2009-08-18,500.0
2009-08-19,-6.6667
2009-08-21,0.0
2009-08-24,0.0
2009-08-25,7.1429
2009-09-17,-42.0
2009-09-22,3.4483
2009-09-25,0.0
2009-10-02,2.2222
2009-10-07,0.0
2009-10-09,0.0
2009-10-16,-0.5435
2009-10-20,-7.1038
2009-10-21,-5.8824
2009-10-26,2.5
2009-10-27,18.2927
2009-10-28,4.1237
2009-10-29,0.0
2009-10-30,0.9901
2009-11-02,-8.8235
2009-11-03,1.0753
2009-11-04,3.1915
2009-11-05,-2.0619
2009-11-06,-3.1579
2009-11-09,1.087
2009-11-10,2.1505
2009-11-11,-52.6316
2009-11-12,-22.2222
2009-11-13,-5.7143
2009-11-16,36.3636
2009-11-17,-2.4444
2009-11-18,-4.5558
2009-11-19,2.6253
2009-11-20,-2.3256
2009-11-23,4.7619
2009-11-24,13.6364
2009-11-25,0.0
2009-11-27,0.0
2009-11-30,-4.0
2009-12-01,2.0833
2009-12-02,-4.0816
2009-12-03,-10.6383
2009-12-08,-4.7619
2009-12-09,-2.75
2009-12-10,-20.3085
2009-12-11,25.8065
2009-12-14,0.0
2009-12-15,-30.7692
2009-12-16,14.8148
2009-12-17,3.2258
2009-12-18,-3.125
2009-12-21,-19.3548
2009-12-22,12.0
2009-12-23,-10.7143
2009-12-24,0.0
2009-12-28,20.0
2009-12-29,-33.3333
2009-12-30,25.0
2009-12-31,-48.0
2010-01-04,-3.8462
2010-01-05,-36.0
2010-01-06,-31.25
2010-01-07,9.0909
2010-01-08,-16.6667
2010-01-11,-20.0
2010-01-12,25.0
2010-01-13,-20.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,-12.5
2010-01-22,-2.8571
2010-01-25,-25.0
2010-01-26,56.8627
2010-01-27,6.25
2010-01-28,17.647100000000002
2010-01-29,10.0
2010-02-01,-18.1818
2010-02-02,33.3333
2010-02-03,33.3333
2010-02-04,6.25
2010-02-05,-2.3529
2010-02-08,-15.6627
2010-02-09,-14.2857
2010-02-11,0.0
2010-02-12,-8.3333
2010-02-16,9.0909
2010-02-17,-11.6667
2010-02-18,-0.9434
2010-02-19,-4.7619
2010-02-22,-10.0
2010-02-23,8.8889
2010-02-24,-1.0204
2010-02-25,-2.0619
