ticker,GPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.25
2000-01-04,-3.6231999999999998
2000-01-05,-4.3609
2000-01-06,11.7925
2000-01-07,4.782
2000-01-10,2.5503
2000-01-11,3.534
2000-01-12,1.0114
2000-01-13,-1.5019
2000-01-14,-2.7954
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,-1.6993
2000-01-21,-3.9894
2000-01-24,-5.6787
2000-01-25,4.1116
2000-01-26,1.8336000000000001
2000-01-27,-0.277
2000-01-28,-3.3333
2000-01-31,2.7298999999999998
2000-02-01,2.9371
2000-02-02,1.7663
2000-02-03,12.9506
2000-02-04,-2.2459
2000-02-07,-3.2648
2000-02-08,0.125
2000-02-09,-1.7478
2000-02-10,-0.3812
2000-02-11,-0.8929
2000-02-14,3.2175
2000-02-15,1.1222
2000-02-16,-3.3292
2000-02-17,-14.0306
2000-02-18,2.0772
2000-02-22,3.9244
2000-02-23,-3.8664
2000-02-24,0.0
2000-02-25,9.0247
2000-02-28,-1.4686
2000-02-29,4.7425
2000-03-01,-0.9056
2000-03-02,-7.5718
2000-03-03,2.8249
2000-03-06,-1.0989
2000-03-07,-4.4444
2000-03-08,2.1802
2000-03-09,3.8407
2000-03-10,1.0959
2000-03-13,-0.4065
2000-03-14,-4.3537
2000-03-15,2.4182
2000-03-16,8.3333
2000-03-17,-4.7436
2000-03-20,2.6917999999999997
2000-03-21,3.2765
2000-03-22,-3.8071
2000-03-23,0.9235
2000-03-24,-2.2222
2000-03-27,-0.8021
2000-03-28,-0.6739
2000-03-29,6.2415
2000-03-30,2.1711
2000-03-31,-0.375
2000-04-03,0.3764
2000-04-04,2.1016
2000-04-05,-15.0356
2000-04-06,1.585
2000-04-07,3.5461
2000-04-10,-1.6438000000000001
2000-04-11,-3.0641
2000-04-12,0.8621
2000-04-13,-4.9858
2000-04-14,-6.7466
2000-04-17,0.3215
2000-04-18,-4.4872
2000-04-19,5.3690999999999995
2000-04-20,-1.2739
2000-04-24,1.9355
2000-04-25,-2.2152
2000-04-26,1.9417
2000-04-27,-6.3492
2000-04-28,-0.339
2000-05-01,3.5714
2000-05-02,2.4631
2000-05-03,-5.7692
2000-05-04,-2.0408
2000-05-05,-4.3403
2000-05-08,-3.4483
2000-05-09,2.2556
2000-05-10,-2.5735
2000-05-11,6.6038
2000-05-12,2.1903
2000-05-15,0.4546
2000-05-16,1.0345
2000-05-17,1.0239
2000-05-18,-0.1689
2000-05-19,-1.3536000000000001
