ticker,ZGYH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-26,-0.9146
2020-05-27,-0.5128
2020-06-02,0.3093
2020-06-08,0.2055
2020-06-10,-0.3077
2020-06-15,0.0
2020-06-16,0.3086
2020-06-17,-0.6154
2020-06-18,-0.1032
2020-06-24,0.4132
2020-06-25,-0.3086
2020-06-26,0.0
2020-06-29,0.2683
2020-06-30,0.4529
2020-07-02,0.4303
2020-07-06,-0.6744
2020-07-07,0.3503
2020-07-08,-0.1024
2020-07-09,-0.1025
2020-07-10,0.2051
2020-07-13,0.1024
2020-07-14,0.2045
2020-07-15,0.2041
2020-07-16,0.2037
2020-07-20,-0.1016
2020-07-21,0.1017
2020-07-22,0.0508
2020-07-23,0.3555
2020-07-24,-0.2024
2020-07-27,-0.1014
2020-07-28,-0.3046
2020-07-29,0.5092
2020-07-31,-0.7092
