ticker,BIIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-11-22,680.0
2016-11-23,182.0513
2016-11-28,-48.1818
2016-11-29,-33.3333
2016-12-01,5.2632
2016-12-06,95.0
2016-12-07,50.0
2016-12-08,37.6068
2016-12-09,24.8447
2016-12-12,4.4776
2016-12-13,7.619
2016-12-14,14.1593
2016-12-15,18.9922
2016-12-16,25.6576
2016-12-19,12.7619
2016-12-20,-26.4368
2016-12-21,18.4375
2016-12-22,6.8602
2016-12-23,2.963
2016-12-27,-4.0767
2016-12-28,0.25
2016-12-29,7.98
2016-12-30,2.7714
2017-01-03,8.0899
2017-01-04,13.5135
2017-01-05,15.9341
2017-01-06,14.376
2017-01-09,-37.7072
2017-01-10,24.8337
2017-01-11,9.2362
2017-01-12,12.6829
2017-01-13,-27.8499
2017-01-17,11.1
2017-01-18,-35.7336
2017-01-19,8.6835
2017-01-20,1.5464
2017-01-23,-47.9695
2017-01-24,35.122
2017-01-25,17.3285
2017-01-26,-8.3077
2017-01-27,-18.4564
2017-01-30,-43.6214
2017-01-31,-42.3358
2017-02-01,-51.8987
2017-02-02,53.4211
2017-02-03,-31.3894
2017-02-06,0.0
2017-02-07,-20.0
2017-02-08,3.125
2017-02-09,0.0
2017-02-10,24.2424
2017-02-13,95.122
2017-02-14,0.0
2017-02-15,-2.5
2017-02-16,-35.8974
2017-02-17,-16.0
2017-02-21,-2.3810000000000002
2017-02-22,-9.7561
2017-02-23,-10.8108
2017-02-24,6.0606
2017-02-27,9.4286
2017-02-28,-8.3551
2017-03-01,5.4131
2017-03-02,10.8108
2017-03-03,-7.9116
2017-03-06,5.9427
2017-03-07,-12.5
2017-03-08,-5.25
2017-03-09,1.0177
2017-03-10,1.4925
2017-03-13,1.1764999999999999
2017-03-14,-1.1991
2017-03-15,-9.4336
2017-03-16,-2.5381
2017-03-17,-3.5833
2017-03-20,-1.4261
2017-03-21,8.7242
2017-03-22,12.9032
2017-03-23,5.7143
2017-03-24,0.0
2017-03-27,-13.5135
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,3.125
2017-03-31,-18.2197
2017-04-03,14.868
2017-04-04,-12.8629
2017-04-05,0.3239
2017-04-06,0.0461
2017-04-07,10.604
2017-04-10,-13.9642
2017-04-11,2.7132
2017-04-12,5.6604
2017-04-13,-10.580400000000001
2017-04-17,-4.9925
2017-04-18,-20.1261
2017-04-19,-15.2632
2017-04-20,24.4565
2017-04-21,4.8035
2017-04-24,-7.6786
