ticker,DRAD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-10,-1.9167
2004-06-14,-2.7188
2004-06-15,-9.4323
2004-06-16,-6.4609
2004-06-17,0.2062
2004-06-18,-2.2634
2004-06-21,-2.8421
2004-06-22,7.0423
2004-06-23,0.6073
2004-06-24,0.6036
2004-06-25,0.0
2004-06-28,-0.5
2004-06-29,0.5025
2004-06-30,0.3
2004-07-01,-0.3988
2004-07-02,-3.9039
2004-07-06,-2.9167
2004-07-07,-2.3605
2004-07-08,-1.0989
2004-07-09,0.0
2004-07-12,1.6667
2004-07-13,-0.5464
2004-07-14,-1.0989
2004-07-15,0.5556
2004-07-16,0.5525
2004-07-19,-1.0989
2004-07-20,5.5556
2004-07-21,0.0
2004-07-22,-1.5789
2004-07-23,-0.2139
2004-07-26,-0.9646
2004-07-27,-0.974
2004-07-28,-1.5301
2004-07-29,0.444
2004-07-30,0.5525
2004-08-02,-1.6484
2004-08-03,1.6760000000000002
2004-08-04,-1.0989
2004-08-05,0.0
2004-08-06,-2.7778
2004-08-09,-2.8571
2004-08-10,-2.4706
2004-08-11,-3.4981999999999998
2004-08-12,-1.25
2004-08-13,-0.6329
2004-08-16,4.8408
2004-08-17,3.2807
2004-08-18,2.9412000000000003
2004-08-19,-0.8
2004-08-20,1.3825
2004-08-23,-4.8864
2004-08-24,2.1505
2004-08-25,-1.7544
2004-08-26,6.9048
2004-08-27,-0.5568
2004-08-30,0.5599
2004-08-31,1.8931
2004-09-01,6.6667
2004-09-02,-0.1025
2004-09-03,2.5641
2004-09-07,-1.6
2004-09-08,-1.4228
2004-09-09,0.0
2004-09-10,0.2062
2004-09-13,4.5267
2004-09-14,4.1339
2004-09-15,0.9452
2004-09-16,0.8427
2004-09-17,1.1142
2004-09-20,-6.7034
2004-09-21,3.248
2004-09-22,-1.3346
2004-09-23,-2.9952
2004-09-24,0.1992
2004-09-27,3.3797
2004-09-28,0.0
2004-09-29,-3.3654
2004-09-30,3.7811
2004-10-01,3.2598
2004-10-04,0.3714
2004-10-05,-0.0925
2004-10-06,1.8519
2004-10-07,-1.8182
2004-10-08,0.463
2004-10-11,1.3825
2004-10-12,1.0909
2004-10-13,-0.6295
2004-10-14,-2.2624
2004-10-15,0.0
2004-10-18,-1.3889
2004-10-19,-1.3146
2004-10-20,-0.0951
2004-10-21,0.0
2004-10-22,2.8571
2004-10-25,-2.7778
2004-10-26,0.7619
2004-10-27,-5.9546
2004-10-28,1.5074999999999998
2004-10-29,-0.297
