ticker,PLFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-23,-8.6957
2014-09-30,0.0
2014-10-02,0.0
2014-10-03,-4.7619
2014-10-14,-25.0
2014-10-15,20.0
2014-10-16,-44.4444
2014-10-17,100.0
2014-10-28,0.0
2014-11-03,2.5
2014-11-05,-2.439
2014-11-06,2.5
2014-11-14,4.878
2014-11-19,0.0
2014-11-24,0.0
2014-12-08,-18.6047
2014-12-09,28.5714
2014-12-11,-22.2222
2014-12-12,28.5714
2014-12-19,-4.4444
2015-01-14,0.0
2015-01-15,-13.9535
2015-01-28,-83.777
2015-01-29,233.1945
2015-01-30,0.0
2015-02-03,-70.0
2015-02-04,100.0
2015-02-05,-50.0
2015-02-06,89.9375
2015-02-09,14.0726
2015-02-10,0.0
2015-02-13,-23.0769
2015-02-19,80.0
2015-02-20,0.0
2015-02-26,-59.9861
2015-02-27,122.1451
2015-03-02,0.0
2015-03-05,0.0
2015-03-06,0.0
2015-03-16,-54.875
2015-03-17,10.7687
2015-03-18,-9.7218
2015-04-06,121.572
2015-04-07,-50.0078
2015-04-08,97.5617
2015-04-09,-0.0158
2015-04-14,-5.0641
2015-04-28,-37.3229
2015-04-30,57.4202
2015-05-01,0.0169
2015-05-07,-31.0811
2015-05-12,27.451
2015-05-13,3.0769
2015-05-14,2.9851
2015-05-15,8.6957
2015-05-19,4.0
2015-05-20,0.0
2015-05-22,2.5641
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,8.75
2015-05-29,2.2989
2015-06-01,13.4831
2015-06-03,0.0
2015-06-08,6.9183
2015-06-09,-7.3967
2015-06-11,11.0
2015-06-15,-0.9009
2015-06-17,-8.1818
2015-06-18,0.9901
2015-06-19,12.7451
2015-06-22,0.8696
2015-06-23,5.1724
2015-06-24,1.6393
2015-06-25,-3.2258
2015-06-29,-3.3333
2015-07-07,11.2069
2015-07-10,16.2791
2015-07-14,-22.6667
2015-07-15,0.0
2015-07-16,20.6897
2015-07-31,0.0
2015-08-04,-13.5714
2015-08-05,0.0
2015-09-01,-0.8264
2015-09-04,4.1667
2015-09-08,-0.8
2015-09-09,-4.8387
2015-09-10,-5.0847
2015-09-14,10.7143
2015-09-15,4.8387
2015-09-16,-3.8462
2015-09-17,8.0
2015-09-18,21.4815
2015-09-21,-9.1463
2015-09-23,-11.4094
2015-09-24,6.0606
2015-09-25,-17.1429
2015-09-29,0.0
2015-09-30,-4.3103
2015-10-01,33.3333
2015-10-02,-12.1622
2015-10-05,0.0
