ticker,SELF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.4085
2000-01-04,-1.3889
2000-01-05,-1.4085
2000-01-06,1.4285999999999999
2000-01-07,1.4085
2000-01-10,-1.3889
2000-01-11,0.0
2000-01-12,-0.3268
2000-01-13,1.4285999999999999
2000-01-14,0.0
2000-01-18,-2.8169
2000-01-19,1.4493
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,1.4285999999999999
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,-1.4085
2000-01-28,-1.4285999999999999
2000-01-31,2.8986
2000-02-01,0.0
2000-02-02,-1.4085
2000-02-03,5.7143
2000-02-04,-1.3514
2000-02-07,1.3699
2000-02-08,-1.3514
2000-02-09,1.3699
2000-02-10,-3.0162
2000-02-11,2.8169
2000-02-14,-2.7397
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,1.4085
2000-02-23,0.0
2000-02-24,1.3889
2000-02-25,-2.7397
2000-02-28,0.0
2000-02-29,1.4085
2000-03-01,-1.3889
2000-03-02,0.0
2000-03-03,1.4085
2000-03-06,0.0
2000-03-07,0.0
2000-03-08,-1.3889
2000-03-09,-2.8169
2000-03-10,1.4493
2000-03-13,1.4285999999999999
2000-03-14,2.8169
2000-03-15,-0.3178
2000-03-16,-2.7778
2000-03-17,1.4285999999999999
2000-03-20,-1.4085
2000-03-21,2.8571
2000-03-22,-2.7778
2000-03-23,0.0
2000-03-27,0.0
2000-03-28,1.4285999999999999
2000-03-29,0.0
2000-03-30,-2.8169
2000-03-31,1.4493
2000-04-03,0.0
2000-04-04,0.0
2000-04-05,1.4285999999999999
2000-04-06,1.4085
2000-04-07,0.0
2000-04-10,2.7778
2000-04-11,0.0
2000-04-12,-2.7027
2000-04-13,-1.7111
2000-04-14,1.4285999999999999
2000-04-17,-1.4085
2000-04-18,-1.4285999999999999
2000-04-19,1.4493
2000-04-20,-1.4285999999999999
2000-04-24,0.0
2000-04-25,4.3478
2000-04-26,0.0
2000-04-27,-2.7778
2000-04-28,0.0
2000-05-01,1.4285999999999999
2000-05-02,1.4085
2000-05-03,0.0
2000-05-04,-1.3889
2000-05-05,1.4085
2000-05-08,-1.3889
2000-05-09,2.8169
2000-05-10,-2.7397
2000-05-11,-0.3268
2000-05-12,0.0
2000-05-15,-1.4285999999999999
2000-05-16,1.4493
2000-05-17,-1.4285999999999999
2000-05-18,1.4493
2000-05-19,0.0
2000-05-22,0.0
2000-05-23,1.4285999999999999
