ticker,KWR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.8246
2000-01-04,-0.4184
2000-01-05,0.4202
2000-01-06,0.0
2000-01-07,1.2551999999999999
2000-01-10,3.3058
2000-01-11,-1.2
2000-01-12,-3.1903
2000-01-13,0.8475
2000-01-14,-0.8403
2000-01-18,-1.2711999999999999
2000-01-19,-0.4292
2000-01-20,-2.5862
2000-01-21,0.885
2000-01-24,0.8772
2000-01-25,-0.4348
2000-01-26,-0.8734
2000-01-27,1.7621
2000-01-28,-0.4329
2000-01-31,0.4348
2000-02-01,-1.7316
2000-02-02,2.2026
2000-02-03,-0.431
2000-02-04,-0.4329
2000-02-07,-2.1739
2000-02-08,0.8889
2000-02-09,0.4405
2000-02-10,0.4386
2000-02-11,-2.1834
2000-02-14,1.3393
2000-02-15,0.0
2000-02-16,-1.3216
2000-02-17,0.8929
2000-02-18,-2.6549
2000-02-22,-0.9091
2000-02-23,0.4587
2000-02-24,-0.4566
2000-02-25,1.8349
2000-02-28,0.0
2000-02-29,0.9009
2000-03-01,0.4464
2000-03-02,0.0
2000-03-03,3.1111
2000-03-06,-1.2931
2000-03-07,0.8734
2000-03-08,4.329
2000-03-09,0.8299
2000-03-10,-0.4115
2000-03-13,-0.8264
2000-03-14,1.25
2000-03-15,0.0
2000-03-16,1.6461000000000001
2000-03-17,-0.4049
2000-03-20,-1.2195
2000-03-21,2.0576
2000-03-22,3.2258
2000-03-23,2.7344
2000-03-24,-2.6616
2000-03-27,-0.3906
2000-03-28,0.3922
2000-03-29,1.9531
2000-03-30,-0.7663
2000-03-31,5.0193
2000-04-03,-2.2059
2000-04-04,0.3759
2000-04-05,-0.3745
2000-04-06,0.7519
2000-04-07,-1.8657
2000-04-10,0.0
2000-04-11,0.3802
2000-04-12,2.697
2000-04-13,-2.6119
2000-04-14,-2.682
2000-04-17,-0.3937
2000-04-18,0.0
2000-04-19,1.581
2000-04-20,3.1128
2000-04-24,-0.3774
2000-04-25,0.0
2000-04-26,-0.3788
2000-04-27,-0.7605
2000-04-28,3.0651
2000-05-01,-0.3717
2000-05-02,-1.4925
2000-05-03,0.0
2000-05-04,0.7576
2000-05-05,0.7519
2000-05-08,1.1194
2000-05-09,0.0
2000-05-10,2.583
2000-05-11,0.0
2000-05-12,-1.0791
2000-05-15,-0.3636
2000-05-16,-2.5547
2000-05-18,-0.7491
2000-05-19,0.3774
2000-05-22,-0.3759
2000-05-23,0.7547
2000-05-24,0.7491
2000-05-25,-1.1152
