ticker,GKIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-11,50.0
2007-10-12,66.6667
2007-10-15,-2.0
2007-10-16,12.2449
2007-10-17,9.0909
2007-11-28,0.0
2007-12-18,-8.3333
2007-12-20,-41.8182
2007-12-27,-3.125
2007-12-28,0.0
2008-01-07,0.0
2008-01-08,-3.2258
2008-05-12,0.0
2008-05-16,-33.3333
2008-05-22,-25.0
2008-05-23,-33.3333
2008-06-20,20.0
2008-07-14,-16.6667
2008-07-18,-40.0
2008-08-05,-16.6667
2008-08-07,-20.0
2008-10-01,25.0
2008-10-14,0.0
2008-10-15,200.0
2009-01-27,-53.3333
2009-02-05,28.5714
2009-02-17,-22.2222
2009-03-25,-28.5714
2009-05-13,100.0
2009-05-14,0.0
2010-02-23,1900.0
2011-03-14,-82.5
2011-07-26,-28.5714
2012-03-22,700.0
2012-04-02,-37.5
2013-04-24,60.0
2013-07-10,50.0
2013-07-29,18.0
2013-08-22,-1.1299
2013-11-08,1.5756000000000001
2014-02-21,76.4706
2014-02-27,0.0
2014-02-28,-41.6667
2014-05-22,14.2857
2014-06-10,0.0
2014-06-16,0.0
2014-06-18,-50.0
2014-06-24,200.0
2014-06-25,0.0
2014-06-30,-33.3333
2014-10-01,15.0
2014-10-02,-6.5217
2014-10-03,-41.8605
2014-10-06,0.0
2014-10-09,-20.0
2014-10-13,0.0
2014-10-15,-20.0
2014-10-16,0.0
2014-10-21,-12.5
2014-10-22,-7.1429
2014-10-23,-7.6923
2014-10-24,3.3333
2014-10-27,0.0
2014-10-29,-3.2258
2014-11-13,-1.6667
2014-11-14,1.6949
2014-11-19,0.0
2014-11-21,0.0
2014-11-24,-8.3333
2014-11-25,0.0
2014-12-05,-27.2727
2014-12-08,0.0
2014-12-09,0.0
2014-12-17,-25.0
2014-12-18,0.0
2015-01-06,-33.3333
2015-01-08,0.0
2015-01-12,-35.0
2015-01-13,-38.4615
2015-01-14,-37.5
2015-01-15,0.0
2015-01-20,620.0
2015-01-21,26.3889
2015-01-22,-3.2967
2015-02-03,-20.4545
2015-02-05,40.0
2015-02-10,-2.0408
2015-02-17,-10.4167
2015-02-18,-6.9767
2015-02-23,20.0
2015-03-03,-4.1927
2015-03-09,-6.4963
2015-03-20,-18.6047
2015-03-24,-8.5714
2015-03-25,-6.25
2015-04-01,6.5
2015-05-06,3.2864
2015-06-05,0.0
2015-06-10,0.0
2015-06-19,6.0606
2015-06-26,14.2857
2015-07-15,7.4688
2015-09-04,-6.9497
