ticker,BBRW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-09,18.0
2016-12-12,-1.6949
2016-12-13,-5.1724
2016-12-14,3.5682
2016-12-15,-3.4452
2016-12-16,-3.6364
2016-12-19,0.0
2016-12-20,-5.6604
2016-12-21,4.0
2016-12-22,13.461500000000001
2016-12-23,-0.1695
2016-12-27,1.8676
2016-12-28,8.3333
2016-12-29,7.6923
2016-12-30,-2.8571
2017-01-03,1.3235000000000001
2017-01-04,-0.5987
2017-01-05,9.509
2017-01-09,-18.6667
2017-01-10,13.9344
2017-01-11,-6.4928
2017-01-12,12.3293
2017-01-13,2.714
2017-01-18,-6.6433
2017-01-19,0.0
2017-01-26,-0.1429
2017-01-27,-14.1631
2017-01-30,-7.5
2017-01-31,-0.9009
2017-02-01,-2.7045
2017-02-02,4.6484
2017-02-03,-1.7856999999999998
2017-02-06,3.6136
2017-02-07,-12.2615
2017-02-08,8.0
2017-02-09,0.0
2017-02-13,-10.1852
2017-02-14,-1.0567
2017-02-15,2.1099
2017-02-16,-0.0255
2017-02-17,0.6379
2017-02-23,-26.9777
2017-02-24,11.1111
2017-02-28,-2.75
2017-03-01,-22.8792
2017-03-02,-13.3333
2017-03-03,3.8462
2017-03-06,18.5185
2017-03-07,-2.9688
2017-03-08,-32.3671
2017-03-09,2.4405
2017-03-10,-25.6246
2017-03-13,-18.75
2017-03-14,-30.7692
2017-03-15,-38.8889
2017-03-16,45.6818
2017-03-17,-37.5975
2017-03-22,2.0
2017-03-23,0.0
2017-03-27,-1.9607999999999999
2017-03-29,164.0
2017-03-30,-24.2424
2017-03-31,-20.0
2017-04-03,-12.5
2017-04-04,-20.7143
2017-04-05,0.2252
2017-04-11,5.9551
2017-04-17,-5.8324
2017-04-19,-23.4234
2017-04-20,17.647100000000002
2017-04-21,20.0
2017-04-27,16.4583
2017-04-28,7.3345
2017-05-08,-33.3333
2017-05-11,1.0
2017-05-12,8.9109
2017-05-19,-31.1364
2017-05-22,-24.7525
2017-05-23,-5.2632
2017-05-24,-3.7037
2017-05-25,-3.8462
2017-05-30,43.5
2017-06-05,-30.3136
2017-06-06,-14.0
2017-06-07,16.2791
2017-06-08,6.0
2017-06-09,116.0377
2017-06-12,1.31
2017-06-13,-39.6552
2017-06-14,-14.2857
2017-06-15,-8.3333
2017-06-16,-12.7273
2017-06-19,29.1667
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,11.9355
2017-06-23,-13.5447
2017-06-28,-15.0
2017-06-29,0.0
