ticker,DSE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-06-27,-0.05
2014-06-30,0.1
2014-07-01,-0.0999
2014-07-02,0.0
2014-07-03,0.05
2014-07-07,-0.05
2014-07-08,0.0
2014-07-09,0.0494
2014-07-10,-0.0344
2014-07-11,-0.015
2014-07-14,0.1019
2014-07-15,0.0475
2014-07-16,-0.0992
2014-07-17,-0.05
2014-07-18,0.0
2014-07-21,0.005
2014-07-22,0.04
2014-07-23,0.005
2014-07-24,-0.05
2014-07-25,0.05
2014-07-28,-0.05
2014-07-29,0.05
2014-07-30,0.1
2014-07-31,-0.1498
2014-08-01,0.05
2014-08-04,-0.05
2014-08-05,-3.75
2014-08-06,1.2987
2014-08-07,1.2821
2014-08-08,1.2658
2014-08-11,-1.75
2014-08-12,0.3562
2014-08-13,-0.4564
2014-08-14,-0.2802
2014-08-15,3.0633
2014-08-18,-1.3098
2014-08-19,-1.2762
2014-08-20,0.4654
2014-08-21,-2.2131
2014-08-22,0.0895
2014-08-25,0.1209
2014-08-26,-0.6303
2014-08-27,1.7115
2014-08-28,0.292
2014-08-29,0.4145
2014-09-02,-0.1032
2014-09-03,-0.2066
2014-09-04,-1.6562999999999999
2014-09-05,0.7895
2014-09-08,-1.2533
2014-09-09,-1.3749
2014-09-10,-0.2681
2014-09-11,0.5914
2014-09-12,-0.7483
2014-09-15,-0.1616
2014-09-16,-1.1865999999999999
2014-09-17,-1.0371
2014-09-18,-1.2135
2014-09-19,-1.0609
2014-09-22,0.6208
2014-09-23,-1.6825999999999999
2014-09-24,-0.3423
2014-09-25,-2.5186
2014-09-26,0.8808
2014-09-29,-0.0582
2014-09-30,4.1350999999999996
2014-10-01,0.1678
2014-10-02,0.6142
2014-10-03,0.5549
2014-10-06,-0.2759
2014-10-07,-1.1621
2014-10-08,0.112
2014-10-09,-1.2304
2014-10-10,-6.1835
2014-10-13,-1.859
2014-10-14,-3.7515
2014-10-15,2.2364
2014-10-16,1.0625
2014-10-17,0.5566
2014-10-20,1.476
2014-10-21,3.3333
2014-10-22,-0.8798
2014-10-23,1.3018
2014-10-24,-1.1682
2014-10-27,-1.5366
2014-10-28,-0.5402
2014-10-29,-0.1811
2014-10-30,-1.089
2014-10-31,1.4678
2014-11-03,0.6024
2014-11-04,-2.0359
2014-11-05,-0.1834
2014-11-06,-0.9798
2014-11-07,1.3605
2014-11-10,-0.8542
2014-11-11,1.3538000000000001
2014-11-12,-1.5786
2014-11-13,-0.7403
2014-11-14,-0.3729
