ticker,VCYT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-30,1.9231
2013-10-31,-6.4906
2013-11-01,-0.7264
2013-11-04,4.065
2013-11-05,-3.125
2013-11-06,-7.2581
2013-11-07,-3.0435
2013-11-08,2.3318
2013-11-11,6.0473
2013-11-12,2.7273
2013-11-13,-1.5286
2013-11-14,-0.7353
2013-11-15,0.0
2013-11-18,4.1152
2013-11-19,-1.4229
2013-11-20,3.3681
2013-11-21,-1.0085
2013-11-22,-4.7022
2013-11-25,-6.5789
2013-11-26,13.2042
2013-11-27,1.1663999999999999
2013-11-29,-0.2306
2013-12-02,0.077
2013-12-03,-0.2309
2013-12-04,-0.5401
2013-12-05,4.6548
2013-12-06,1.6308
2013-12-09,1.6047
2013-12-10,-0.2872
2013-12-11,-2.7358000000000002
2013-12-12,-3.2568
2013-12-13,0.6886
2013-12-16,6.383
2013-12-17,0.2857
2013-12-18,-0.8547
2013-12-19,0.431
2013-12-20,0.1431
2013-12-23,-0.0714
2013-12-24,-0.5004
2013-12-26,2.5862
2013-12-27,-0.9104
2013-12-30,-2.6148
2013-12-31,5.225
2014-01-02,1.1724
2014-01-03,4.3626
2014-01-06,3.1352
2014-01-07,-0.3167
2014-01-08,-0.7624
2014-01-09,1.7926
2014-01-10,1.7296
2014-01-13,-1.8237999999999999
2014-01-14,0.8816
2014-01-15,0.1873
2014-01-16,0.0623
2014-01-17,1.4944
2014-01-21,-0.4294
2014-01-22,-1.7868
2014-01-23,-0.5646
2014-01-24,0.4416
2014-01-27,-4.7739
2014-01-28,-1.2533
2014-01-29,-0.668
2014-01-30,-0.3362
2014-01-31,-1.1471
2014-02-03,0.1365
2014-02-04,-1.4315
2014-02-05,3.2503
2014-02-06,0.5358
2014-02-07,0.1999
2014-02-10,-0.5319
2014-02-11,-0.2674
2014-02-12,-0.4692
2014-02-13,0.6734
2014-02-14,-2.8763
2014-02-18,2.2039
2014-02-19,-3.3693
2014-02-20,2.9289
2014-02-21,1.355
2014-02-24,-1.3369
2014-02-25,-2.439
2014-02-26,3.3333
2014-02-27,5.4435
2014-02-28,2.0395
2014-03-03,3.4354
2014-03-04,7.4577
2014-03-05,-1.3768
2014-03-06,-0.1709
2014-03-07,0.6279
2014-03-10,3.46
2014-03-11,-1.2610000000000001
2014-03-12,-3.9145
2014-03-13,-1.6469
2014-03-14,-0.4113
2014-03-17,-1.8289
2014-03-18,2.2837
2014-03-19,8.3431
2014-03-20,-0.3254
2014-03-21,-2.7748
