ticker,GH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-04,69.4737
2018-10-05,-9.3168
2018-10-08,1.1985999999999999
2018-10-09,6.6328
2018-10-10,-1.8723999999999998
2018-10-11,2.1992
2018-10-12,6.2658
2018-10-15,-0.6254
2018-10-16,13.0357
2018-10-17,7.9799
2018-10-18,-1.5222
2018-10-19,-10.7704
2018-10-22,4.5264
2018-10-23,-7.8321
2018-10-24,0.6671
2018-10-25,1.2388
2018-10-26,-0.4269
2018-10-29,-6.8591
2018-10-30,4.5413
2018-10-31,-1.7317
2018-11-01,2.2401
2018-11-02,17.1779
2018-11-05,-12.4159
2018-11-06,1.5941
2018-11-07,3.2782
2018-11-08,3.5811
2018-11-09,-0.2095
2018-11-12,2.6772
2018-11-13,-3.7065
2018-11-14,-1.0884
2018-11-15,0.6441
2018-11-16,-0.6667
2018-11-19,-9.745
2018-11-20,3.3314
2018-11-21,6.966
2018-11-23,3.3369
2018-11-26,3.6719
2018-11-27,-4.421
2018-11-28,-0.841
2018-11-29,-0.4771
2018-11-30,-4.8469
2018-12-03,28.5754
2018-12-04,-7.5751
2018-12-06,8.5728
2018-12-07,-2.3644
2018-12-10,-2.9993
2018-12-11,0.1832
2018-12-12,-2.9721
2018-12-13,-1.2959
2018-12-14,-4.9654
2018-12-17,-8.967600000000001
2018-12-18,-3.6424
2018-12-19,3.7514
2018-12-20,-1.5181
2018-12-21,-3.7276
2018-12-24,-5.2984
2018-12-26,9.0071
2018-12-27,0.4794
2018-12-28,5.8378
2018-12-31,-0.3182
2019-01-02,-2.8997
2019-01-03,-6.0274
2019-01-04,5.5394
2019-01-07,5.3591
2019-01-08,4.6932
2019-01-09,0.1002
2019-01-10,3.9279
2019-01-11,3.3702
2019-01-14,-7.9413
2019-01-15,1.3913
2019-01-16,0.6487
2019-01-17,2.6029
2019-01-18,-0.3382
2019-01-22,-1.5514999999999999
2019-01-23,-1.5267
2019-01-24,-1.3003
2019-01-25,-0.5574
2019-01-28,4.8153
2019-01-29,-1.6286
2019-01-30,-1.5072999999999999
2019-01-31,1.2042
2019-02-01,-0.3471
2019-02-04,-0.7463
2019-02-05,5.3133
2019-02-06,-1.7849
2019-02-07,-3.15
2019-02-08,-0.1251
2019-02-11,3.7826
2019-02-12,1.4482
2019-02-13,2.4506
2019-02-14,13.4928
2019-02-15,4.5017
2019-02-19,-1.6448
2019-02-20,0.3783
2019-02-21,4.9385
2019-02-22,2.3058
2019-02-25,1.7181
2019-02-26,-0.2906
