ticker,ANGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-27,13.6364
2004-05-28,13.44
2004-06-01,-4.0903
2004-06-02,-0.3676
2004-06-03,-4.059
2004-06-04,-0.6923
2004-06-07,4.8025
2004-06-08,-3.9172000000000002
2004-06-09,1.2308
2004-06-10,-1.4438
2004-06-14,-1.3107
2004-06-15,-1.1641
2004-06-16,3.1539
2004-06-17,-3.0651
2004-06-18,-1.0277
2004-06-21,3.1949
2004-06-22,10.526299999999999
2004-06-23,4.6218
2004-06-24,-4.0161
2004-06-25,0.1395
2004-06-28,5.1532
2004-06-29,0.6623
2004-06-30,-4.2763
2004-07-01,-6.3918
2004-07-02,-0.1468
2004-07-06,4.3382
2004-07-07,4.4397
2004-07-08,-4.251
2004-07-09,2.0437
2004-07-12,2.9006
2004-07-13,-0.1342
2004-07-14,-3.5618
2004-07-15,-6.7596
2004-07-16,-6.577
2004-07-19,1.28
2004-07-20,4.1864
2004-07-21,-10.5383
2004-07-22,-1.1864
2004-07-23,0.5146
2004-07-26,-1.3652
2004-07-27,2.9412000000000003
2004-07-28,5.2101
2004-07-29,5.3514
2004-07-30,2.7293
2004-08-02,-2.6568
2004-08-03,-1.8195999999999999
2004-08-04,0.4633
2004-08-05,-3.5357
2004-08-06,-5.1793
2004-08-09,-3.3613
2004-08-10,4.3478
2004-08-11,-4.1667
2004-08-12,2.0
2004-08-16,-2.8133
2004-08-17,-0.7018
2004-08-18,1.7668
2004-08-19,0.2604
2004-08-20,4.7619
2004-08-23,-1.5702
2004-08-24,1.4274
2004-08-25,-0.6623
2004-08-26,0.175
2004-08-27,5.898
2004-08-30,0.542
2004-08-31,-2.0236
2004-09-01,-6.2201
2004-09-02,0.3401
2004-09-03,1.1864
2004-09-07,4.7739
2004-09-08,-3.1894
2004-09-09,-0.9165
2004-09-10,0.0
2004-09-13,-1.25
2004-09-14,9.6203
2004-09-15,-1.4627
2004-09-16,0.7813
2004-09-17,-0.8527
2004-09-20,-4.222
2004-09-21,-0.2449
2004-09-22,3.5188
2004-09-23,-7.1146
2004-09-24,2.8936
2004-09-27,0.1654
2004-09-28,0.3303
2004-09-29,-2.0494
2004-09-30,0.0756
2004-10-01,-0.6717
2004-10-04,5.2409
2004-10-05,-3.6145
2004-10-06,0.3333
2004-10-07,3.9036999999999997
2004-10-08,3.9169
2004-10-11,-2.3846
2004-10-12,-5.8314
2004-10-13,-5.8577
2004-10-14,-1.6
2004-10-15,-2.8004
2004-10-18,-1.1152
