ticker,CALA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-02,-5.9030000000000005
2014-10-03,-0.6376
2014-10-06,0.0
2014-10-07,-1.0695000000000001
2014-10-08,-1.2973
2014-10-09,-7.7766
2014-10-10,-11.2827
2014-10-13,-6.158
2014-10-14,1.9971
2014-10-15,4.7552
2014-10-16,12.4166
2014-10-17,7.1259
2014-10-20,11.6408
2014-10-21,4.568
2014-10-22,-8.642
2014-10-23,2.9106
2014-10-24,11.5152
2014-10-27,-5.7971
2014-10-28,1.5385
2014-10-29,-2.178
2014-10-30,-0.1936
2014-10-31,-8.6324
2014-11-03,4.5648
2014-11-04,3.0457
2014-11-05,0.197
2014-11-06,-4.4248
2014-11-07,2.1605
2014-11-10,2.0141
2014-11-11,0.0
2014-11-12,-0.8885
2014-11-13,-0.7968
2014-11-14,-0.8032
2014-11-17,-4.8583
2014-11-18,2.9787
2014-11-19,2.7893
2014-11-20,-2.1106
2014-11-21,0.616
2014-11-24,3.7755
2014-11-25,-0.4916
2014-11-26,3.7549
2014-11-28,1.619
2014-12-01,-19.9625
2014-12-02,12.8806
2014-12-03,8.0913
2014-12-04,-1.9194
2014-12-05,3.4247
2014-12-08,22.5166
2014-12-09,2.0849
2014-12-10,29.879
2014-12-11,35.1194
2014-12-12,28.6638
2014-12-15,-10.3853
2014-12-16,-1.6075
2014-12-17,0.5319
2014-12-18,8.6546
2014-12-19,-2.8522
2014-12-22,-17.5439
2014-12-23,-8.0764
2014-12-24,5.4795
2014-12-26,0.0448
2014-12-29,-11.325
2014-12-30,-7.5719
2014-12-31,10.3222
2015-01-02,3.4653
2015-01-05,3.8278
2015-01-06,9.9078
2015-01-07,2.3061
2015-01-08,-3.3607
2015-01-09,0.2545
2015-01-12,-3.2995
2015-01-13,-3.1496
2015-01-14,3.0714
2015-01-15,-5.9159
2015-01-16,7.9646
2015-01-20,-2.4159
2015-01-21,-4.8187
2015-01-22,-3.6693
2015-01-23,-5.0145
2015-01-26,2.9442
2015-01-27,0.7396
2015-01-28,-7.7827
2015-01-29,5.2017
2015-01-30,0.3532
2015-02-02,5.279
2015-02-03,-5.9694
2015-02-04,-9.8527
2015-02-05,-0.6761
2015-02-06,-2.5525
2015-02-09,5.8207
2015-02-10,-1.3201
2015-02-11,-8.5842
2015-02-12,-5.5488
2015-02-13,4.0026
2015-02-17,3.6623
2015-02-18,-1.8563
2015-02-19,-0.3051
2015-02-20,-0.7956
2015-02-23,-0.6169
2015-02-24,-2.4209
