ticker,CAOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-05,-93.5294
2009-01-14,9718.1818
2009-03-05,-16.6667
2009-04-24,20.0
2009-06-12,-1.8519
2009-07-16,0.0
2009-08-24,0.0
2009-10-22,-18.6792
2009-10-26,0.0
2009-11-05,4.4084
2009-11-11,-3.7778
2009-11-19,21.2471
2010-05-18,1.9417
2011-08-24,-9.141
2012-12-14,0.8365
2012-12-17,4.9896
2012-12-20,4.9505
2012-12-21,0.566
2013-03-13,-2.439
2014-08-07,25.0
2015-07-24,-16.1923
2015-07-27,-3.6254999999999997
2015-07-29,4.9524
2015-12-22,12.7042
2017-03-21,0.9678
2017-05-30,41.784
2017-06-06,0.0
2017-06-07,13.6108
2017-06-19,-0.1
2017-06-20,0.001
2017-07-20,0.0991
2017-08-08,-0.9901
2017-08-14,-0.1
2017-10-24,-2.4024
2017-11-06,-17.9487
2017-12-06,22.5
2017-12-11,0.0
2017-12-20,-8.1633
2018-01-09,0.0
2018-03-12,0.0
2018-03-22,8.8889
2018-03-26,0.5102
2018-03-27,0.5076
2018-04-17,1.0101
2018-04-20,32.5
2018-04-23,3.7736
2018-04-24,1.8182
2018-04-25,21.4286
2018-04-26,0.0
2018-05-01,5.8824
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,2.7778
2018-05-07,2.7027
2018-05-14,5.2632
2018-05-21,5.0
2018-05-23,4.7619
2018-05-24,-4.5455
2018-05-30,-5.0
2018-06-05,-19.7995
2018-06-15,0.0625
2018-06-19,-0.0625
2018-06-20,0.0
2018-06-21,0.0
2018-06-26,0.0
2018-06-28,0.0
2018-07-12,15.5
2018-07-31,-13.4198
2018-09-11,0.0624
2018-09-24,6.1836
2018-09-26,0.0
2018-10-10,1.4706000000000001
2018-11-14,2.8986
2018-12-20,7.0423
2019-01-18,0.0
2019-01-25,31.552599999999998
2019-01-29,-0.18
2019-02-01,-19.8397
2019-02-07,-15.0
2019-02-08,-5.8824
2019-02-11,0.0
2019-02-13,4.6875
2019-02-14,0.0
2019-02-15,0.0
2019-02-19,1.4925
2019-03-28,-0.0588
2019-03-29,0.0
2019-04-01,0.0
2019-04-08,0.0
2019-04-11,0.0
2019-04-17,-1.4126
2019-04-18,-5.9701
2019-04-24,1.6349
2019-04-29,0.0
2019-05-07,-1.6086
2019-05-08,0.0
2019-05-13,-3.2381
2019-05-16,-6.4961
2019-05-17,1.7544
2019-05-20,3.4483
2019-05-21,-3.3333
2019-05-22,0.0
2019-05-28,0.0
2019-07-05,0.3448
2019-09-04,13.0584
2019-09-27,3.3435
2019-10-02,0.0
2019-10-10,-2.9412000000000003
2019-11-25,-9.0909
2019-12-13,0.6711
2019-12-16,9.9867
2020-01-14,-10.5952
2020-01-15,-0.0678
2020-01-22,1.7639
2020-01-30,-1.6667
2020-02-03,11.8644
2020-03-09,-13.6364
2020-03-25,-19.2982
2020-05-21,15.9292
2020-05-22,-3.0534
2020-05-26,0.7874
2020-05-27,5.4688
2020-05-28,-1.4815
2020-05-29,-4.5301
2020-06-01,1.5948
2020-06-02,1.5504
2020-06-04,-1.5267
2020-06-05,-0.3876
2020-06-09,-0.7782
2020-06-11,1.9607999999999999
2020-06-12,-5.7692
2020-06-15,4.0816
2020-06-16,0.0
2020-06-17,1.8824
2020-06-19,0.077
2020-06-22,0.0
2020-06-23,0.7692
2020-06-24,-0.6489
2020-06-26,-1.9593
2020-06-29,1.8809
2020-06-30,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,-4.2308
2020-07-10,-0.8032
2020-07-14,0.0
2020-07-20,0.4049
2020-07-21,4.8387
2020-07-23,-4.6154
2020-07-24,0.8065
2020-07-28,2.0
2020-07-29,-0.0039
2020-07-30,-1.9569
2020-07-31,3.1992
