ticker,DSSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-29,-5.1095
2019-04-01,-0.2885
2019-04-02,-6.9431
2019-04-03,0.7254
2019-04-04,5.3498
2019-04-05,2.6367000000000003
2019-04-08,8.4681
2019-04-09,2.4561
2019-04-10,5.0514
2019-04-11,7.172
2019-04-12,2.2053
2019-04-15,0.1488
2019-04-16,-0.3715
2019-04-17,-1.1931
2019-04-18,-1.5093999999999999
2019-04-22,0.0766
2019-04-23,1.5314
2019-04-24,-1.2066
2019-04-25,-1.374
2019-04-26,1.7802
2019-04-29,0.0
2019-04-30,-0.7605
2019-05-01,0.7663
2019-05-02,4.4106
2019-05-03,3.496
2019-05-06,0.1407
2019-05-07,-4.4975
2019-05-08,1.6188
2019-05-09,-1.5206
2019-05-10,0.7353
2019-05-13,-3.8686
2019-05-14,2.2779
2019-05-15,1.4848
2019-05-16,-2.6334999999999997
2019-05-17,-4.9587
2019-05-20,2.2925
2019-05-21,-0.2318
2019-05-22,0.6197
2019-05-23,-4.0801
2019-05-24,-0.8828
2019-05-28,-1.1336
2019-05-29,-0.4914
2019-05-30,2.0576
2019-05-31,-2.0161
2019-06-03,-1.3169
2019-06-04,0.834
2019-06-05,-0.9926
2019-06-06,0.2506
2019-06-07,-1.4167
2019-06-10,-1.0989
2019-06-11,-1.0256
2019-06-12,-5.9585
2019-06-13,4.1322
2019-06-14,0.2646
2019-06-17,2.4626
2019-06-18,-0.6867
2019-06-19,-2.0743
2019-06-20,2.8244
2019-06-21,-2.4893
2019-06-24,2.2887
2019-06-25,-2.3236
2019-06-26,2.7313
2019-06-27,0.7719
2019-06-28,8.6809
2019-07-01,5.0117
2019-07-02,0.5966
2019-07-03,-4.003
2019-07-05,-2.3938
2019-07-08,-0.4747
2019-07-09,0.3975
2019-07-10,2.7712
2019-07-11,-0.2311
2019-07-12,1.2355
2019-07-15,-2.5172
2019-07-16,0.5477
2019-07-17,-1.1673
2019-07-18,-2.9920999999999998
2019-07-19,-2.1916
2019-07-22,0.0
2019-07-23,-1.9917
2019-07-24,4.9958
2019-07-25,-2.9839
2019-07-26,0.2494
2019-07-29,-0.995
2019-07-30,0.0
2019-07-31,0.0838
2019-08-01,-2.0084
2019-08-02,-1.8787
2019-08-05,-5.1349
2019-08-06,0.367
2019-08-07,-1.2797
2019-08-08,1.2963
2019-08-09,-4.2048
2019-08-12,-2.4809
2019-08-13,1.9569
2019-08-14,-4.0307
2019-08-15,-0.5
2019-08-16,3.7186
