ticker,YUMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-18,-4.7173
2016-10-19,-0.7365
2016-10-20,-0.0412
2016-10-21,2.7629
2016-10-24,1.244
2016-10-25,-2.8141
2016-10-26,0.938
2016-10-27,0.3232
2016-10-28,-1.8929
2016-10-31,-0.4926
2016-11-01,8.0446
2016-11-02,1.5272999999999999
2016-11-03,0.9778
2016-11-04,2.7188
2016-11-07,-3.1545
2016-11-08,-0.4493
2016-11-09,-2.2189
2016-11-10,0.0
2016-11-11,3.7692
2016-11-14,-4.0771
2016-11-15,2.6275
2016-11-16,1.4307
2016-11-17,0.5568
2016-11-18,4.282
2016-11-21,2.3717
2016-11-22,3.6653000000000002
2016-11-23,-0.6338
2016-11-25,-1.1413
2016-11-28,-3.7351
2016-11-29,0.8466
2016-11-30,-1.6439
2016-12-01,0.4623
2016-12-02,-0.354
2016-12-05,-0.5329
2016-12-06,1.25
2016-12-07,-1.164
2016-12-08,0.0
2016-12-09,-0.0714
2016-12-12,-5.5357
2016-12-13,2.155
2016-12-14,0.074
2016-12-15,-2.3669000000000002
2016-12-16,-0.8333
2016-12-19,-0.9931
2016-12-20,2.8935
2016-12-21,-0.15
2016-12-22,-1.7649
2016-12-23,-0.5734
2016-12-27,-0.5383
2016-12-28,0.4639
2016-12-29,0.0385
2016-12-30,0.4615
2017-01-03,0.4594
2017-01-04,1.4482
2017-01-05,1.3899
2017-01-06,-3.0752
2017-01-09,-0.4205
2017-01-10,0.499
2017-01-11,-0.4584
2017-01-12,-0.2686
2017-01-13,-0.077
2017-01-17,2.6954000000000002
2017-01-18,-0.6749
2017-01-19,-1.8498
2017-01-20,0.1923
2017-01-23,2.5336
2017-01-24,0.7862
2017-01-25,0.2972
2017-01-26,3.6667
2017-01-27,0.2144
2017-01-30,-1.1764999999999999
2017-01-31,-0.8658
2017-02-01,0.2911
2017-02-02,3.3745
2017-02-03,-0.2106
2017-02-06,1.2663
2017-02-07,-2.3967
2017-02-08,-3.452
2017-02-09,-0.6266
2017-02-10,-1.4837
2017-02-13,2.6355
2017-02-14,-2.3111
2017-02-15,0.0751
2017-02-16,0.7505
2017-02-17,-1.0428
2017-02-21,0.6775
2017-02-22,0.0748
2017-02-23,0.0
2017-02-24,0.8218
2017-02-27,0.0371
2017-02-28,-1.5185
2017-03-01,-0.3385
2017-03-02,-0.3396
2017-03-03,0.3786
2017-03-06,-0.7544
2017-03-07,-1.1403
2017-03-08,1.4224999999999999
2017-03-09,-0.6823
