ticker,NBVB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-13,6.3158
2005-05-16,2.9703
2005-05-17,-32.6923
2005-05-18,0.0
2005-05-19,-25.7143
2005-05-20,5.7692
2005-05-23,9.0909
2005-05-24,0.0
2005-05-25,16.6667
2005-05-26,10.0
2005-05-27,-2.5974
2005-05-31,6.6667
2005-06-01,0.0
2005-06-02,-12.5
2005-06-03,21.4286
2005-06-06,-11.7647
2005-06-07,13.3333
2005-06-08,-5.8824
2005-06-09,12.5
2005-06-10,0.0
2005-06-13,-5.5556
2005-06-14,1.1764999999999999
2005-06-15,4.6512
2005-06-16,-11.1111
2005-06-17,18.75
2005-06-20,0.0
2005-06-21,-10.526299999999999
2005-06-22,5.8824
2005-06-23,0.0
2005-06-24,0.0
2005-06-27,5.5556
2005-06-30,-5.2632
2005-07-01,-11.1111
2005-07-06,0.0
2005-07-08,22.5
2005-07-12,-28.5714
2005-07-20,12.857099999999999
2005-07-21,7.5949
2005-08-01,-40.0
2005-08-02,92.1569
2005-08-03,0.0
2005-08-05,-23.4694
2005-08-08,-6.6667
2005-08-09,7.1429
2005-08-10,6.6667
2005-08-17,0.0
2005-08-18,0.0
2005-08-19,-43.75
2005-08-22,73.3333
2005-08-23,-23.0769
2005-08-25,8.3333
2005-08-26,15.3846
2005-08-29,-33.3333
2005-08-30,-10.0
2005-08-31,0.0
2005-09-01,22.2222
2005-09-02,18.1818
2005-09-06,0.0
2005-09-07,0.0
2005-09-08,-15.3846
2005-09-09,0.0
2005-09-12,-20.0
2005-09-13,13.6364
2005-09-14,6.0
2005-09-15,0.0
2005-09-16,-13.0189
2005-09-19,-2.3861
2005-09-20,0.0
2005-09-21,-8.8889
2005-09-22,19.5122
2005-09-23,-22.449
2005-09-26,21.0526
2005-09-27,-19.5652
2005-09-28,13.5135
2005-09-29,16.6667
2005-09-30,-10.2041
2005-10-03,-10.2273
2005-10-04,0.0
2005-10-05,1.2658
2005-10-06,-25.0
2005-10-07,0.0
2005-10-10,0.0
2005-10-11,0.0
2005-10-12,16.6667
2005-10-13,-8.5714
2005-10-14,-15.625
2005-10-17,22.2222
2005-10-18,-24.2424
2005-10-19,0.0
2005-10-20,0.0
2005-10-21,-8.0
2005-10-24,-8.6957
2005-10-25,0.0
2005-10-26,-4.7619
2005-10-27,0.0
2005-10-28,5.0
2005-10-31,-4.7619
2005-11-01,-12.5
2005-11-02,0.0
2005-11-03,20.0
2005-11-04,-11.9048
2005-11-07,8.1081
