ticker,GLUU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-22,6.8696
2007-03-23,-6.3466000000000005
2007-03-26,1.5638999999999998
2007-03-27,-1.6253
2007-03-28,-3.9130000000000003
2007-03-29,-6.6968
2007-03-30,-3.0068
2007-04-02,0.3
2007-04-03,-0.3988
2007-04-04,-2.1021
2007-04-05,2.2495
2007-04-09,-0.8
2007-04-10,-0.7056
2007-04-11,2.9442
2007-04-12,1.6764999999999999
2007-04-13,5.6256
2007-04-16,4.1322
2007-04-17,3.9683
2007-04-18,1.6115
2007-04-19,-0.2504
2007-04-20,-0.5858
2007-04-23,-2.6936
2007-04-24,-0.9516
2007-04-25,2.0087
2007-04-26,-1.113
2007-04-27,-1.2987
2007-04-30,-1.4474
2007-05-01,0.4895
2007-05-02,1.7715
2007-05-03,6.0923
2007-05-04,6.3987
2007-05-07,-0.3855
2007-05-08,2.5542
2007-05-09,2.6414999999999997
2007-05-10,-4.2647
2007-05-11,-0.6144
2007-05-14,4.3277
2007-05-15,2.1481
2007-05-16,0.145
2007-05-17,-3.9826
2007-05-18,2.3379
2007-05-21,-1.1791
2007-05-22,-0.1491
2007-05-23,-2.5392
2007-05-24,-4.1379
2007-05-25,-1.9184999999999999
2007-05-29,3.097
2007-05-30,1.8182
2007-05-31,-3.4938000000000002
2007-06-01,0.8045
2007-06-04,0.4789
2007-06-05,2.0651
2007-06-06,-1.0895
2007-06-07,1.6522000000000001
2007-06-08,-1.161
2007-06-11,2.8191
2007-06-12,1.904
2007-06-13,0.1495
2007-06-14,-0.2985
2007-06-15,-0.0749
2007-06-18,3.1461
2007-06-19,6.5359
2007-06-20,-1.1588
2007-06-21,-3.5172
2007-06-22,-3.3595
2007-06-25,-1.2574
2007-06-26,0.2996
2007-06-27,2.2405
2007-06-28,-1.1687
2007-06-29,2.7347
2007-07-02,1.4388
2007-07-03,-1.1348
2007-07-05,-0.3587
2007-07-06,-1.6559
2007-07-09,-0.8053
2007-07-10,-0.2214
2007-07-11,0.2219
2007-07-12,2.0295
2007-07-13,0.9042
2007-07-16,-1.5771
2007-07-17,1.311
2007-07-18,-1.5097
2007-07-19,-3.0657
2007-07-20,-3.6145
2007-07-23,-0.625
2007-07-24,-3.066
2007-07-25,-2.0276
2007-07-26,-3.4768
2007-07-27,2.4013999999999998
2007-07-30,-1.1724999999999999
2007-07-31,0.8475
2007-08-01,0.9244
2007-08-02,-8.6595
2007-08-03,-7.1103
2007-08-06,-2.0118
2007-08-07,-4.9574
