ticker,KRNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-06,-3.3571
2015-04-07,2.2912
2015-04-08,-2.0231
2015-04-09,-0.1475
2015-04-10,6.647
2015-04-13,-0.554
2015-04-14,3.4819
2015-04-15,4.3069
2015-04-16,1.2903
2015-04-17,-8.2166
2015-04-20,1.9083999999999999
2015-04-21,2.0769
2015-04-22,0.0
2015-04-23,-1.1341
2015-04-24,0.5398
2015-04-27,-0.8725
2015-04-28,-1.2187000000000001
2015-04-29,-1.3023
2015-04-30,3.4722
2015-05-01,-2.2819
2015-05-04,-5.4945
2015-05-05,-1.9259
2015-05-06,0.4076
2015-05-07,6.4207
2015-05-08,3.6061
2015-05-11,0.3347
2015-05-12,-3.569
2015-05-13,2.1792
2015-05-14,3.5206
2015-05-15,2.0275
2015-05-18,6.6667
2015-05-19,-3.125
2015-05-20,2.2333
2015-05-21,0.4248
2015-05-22,-2.4773
2015-05-26,-5.2045
2015-05-27,-4.5752
2015-05-28,-2.2603
2015-05-29,0.0
2015-06-01,0.911
2015-06-02,4.7222
2015-06-03,-4.3103
2015-06-04,1.8711
2015-06-05,-2.3810000000000002
2015-06-08,-8.4321
2015-06-09,1.2177
2015-06-10,1.8045
2015-06-11,0.6647
2015-06-12,2.2744
2015-06-15,-0.3587
2015-06-16,5.5436
2015-06-17,-3.8881
2015-06-18,-0.4968
2015-06-19,3.8516
2015-06-22,-1.9231
2015-06-23,2.1008
2015-06-24,-0.4801
2015-06-25,0.0
2015-06-26,-0.4824
2015-06-29,-1.2465
2015-06-30,-3.5063
2015-07-01,-0.0727
2015-07-02,-2.9818
2015-07-06,7.7211
2015-07-07,-1.2526
2015-07-08,-0.3524
2015-07-09,2.7580999999999998
2015-07-10,-0.2065
2015-07-13,-0.3448
2015-07-14,-1.7301
2015-07-15,-0.2817
2015-07-16,-0.4237
2015-07-17,-0.3546
2015-07-20,0.7829
2015-07-21,0.6356
2015-07-22,1.8246
2015-07-23,1.654
2015-07-24,-0.339
2015-07-27,0.6803
2015-07-28,-1.4189
2015-07-29,0.6854
2015-07-30,-0.4084
2015-07-31,-0.6152
2015-08-03,2.132
2015-08-04,0.8081
2015-08-05,-3.5404
2015-08-06,-0.831
2015-08-07,-4.7486
2015-08-10,2.1261
2015-08-11,-3.0869
2015-08-12,-2.8148
2015-08-13,1.0671
2015-08-14,-0.7541
2015-08-17,-1.2158
2015-08-18,0.8462
2015-08-19,0.6865
2015-08-20,0.9091
2015-08-21,1.8018
