ticker,CLUBQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-02,1.9231
2006-06-05,-2.6414999999999997
2006-06-06,-2.0155
2006-06-07,-0.3956
2006-06-08,-0.7149
2006-06-09,0.48
2006-06-12,-2.4682
2006-06-13,-1.3061
2006-06-14,-3.6394
2006-06-15,0.4292
2006-06-16,-2.9915000000000003
2006-06-19,0.8811
2006-06-20,-1.3974
2006-06-21,3.2772
2006-06-22,2.8302
2006-06-23,-1.9183
2006-06-26,3.4864
2006-06-27,-2.9581
2006-06-28,2.4555
2006-06-29,-0.4132
2006-06-30,1.2448
2006-07-03,0.0
2006-07-05,0.4098
2006-07-06,-1.6327
2006-07-07,2.0747
2006-07-10,-0.813
2006-07-11,0.0
2006-07-12,0.0
2006-07-13,-1.6393
2006-07-14,-1.5833
2006-07-17,-0.508
2006-07-18,-2.9787
2006-07-19,0.8772
2006-07-20,-0.6957
2006-07-21,-1.8389
2006-07-24,-0.6244
2006-07-25,0.7181
2006-07-26,-0.713
2006-07-27,-0.0898
2006-07-28,1.7071
2006-07-31,0.6184
2006-08-01,4.0386
2006-08-02,2.9536
2006-08-03,-0.4098
2006-08-04,-0.823
2006-08-07,0.8299
2006-08-08,-1.3992
2006-08-09,1.419
2006-08-10,0.823
2006-08-11,1.2245
2006-08-14,2.8226
2006-08-15,0.3922
2006-08-16,-1.0937999999999999
2006-08-17,-2.2907
2006-08-18,2.8294
2006-08-21,0.5503
2006-08-22,-0.5473
2006-08-23,-0.5503
2006-08-24,0.7905
2006-08-25,1.9607999999999999
2006-08-28,0.3846
2006-08-29,0.0
2006-08-30,0.0
2006-08-31,-1.3793
2006-09-01,1.0101
2006-09-05,-2.3077
2006-09-06,0.3937
2006-09-07,2.3529
2006-09-08,-0.1533
2006-09-11,0.0767
2006-09-12,0.8436
2006-09-13,2.7376
2006-09-14,-0.4441
2006-09-15,-1.4126
2006-09-18,0.9804
2006-09-19,-0.5228
2006-09-20,1.5015
2006-09-21,-3.1065
2006-09-22,1.6794
2006-09-25,-2.027
2006-09-26,2.9119
2006-09-27,1.5636999999999999
2006-09-28,-0.5865
2006-09-29,-3.2448
2006-10-02,0.686
2006-10-03,4.6934000000000005
2006-10-04,4.6276
2006-10-05,3.8701
2006-10-06,0.5323
2006-10-09,1.9193
2006-10-10,-1.1039
2006-10-11,-1.5102
2006-10-12,0.1333
2006-10-13,-0.1332
2006-10-16,2.3333
2006-10-17,0.6515
2006-10-18,3.6893000000000002
2006-10-19,0.7491
