ticker,MBII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-02,14.5833
2013-08-05,-1.4545
2013-08-06,-0.0738
2013-08-07,-2.1418
2013-08-08,-0.0151
2013-08-09,0.2415
2013-08-12,1.2048
2013-08-13,0.9673
2013-08-14,-1.2159
2013-08-15,-2.2753
2013-08-16,-1.5267
2013-08-19,-0.4651
2013-08-20,-2.648
2013-08-21,2.64
2013-08-22,2.7279999999999998
2013-08-23,0.6449
2013-08-26,0.5654
2013-08-27,-0.5997
2013-08-28,-1.8854
2013-08-29,0.6149
2013-08-30,0.4584
2013-09-03,1.3688
2013-09-04,-1.8755
2013-09-05,-0.1529
2013-09-06,0.3063
2013-09-09,0.458
2013-09-10,-1.9757
2013-09-11,3.9535
2013-09-12,2.4609
2013-09-13,13.246
2013-09-16,-4.3702
2013-09-17,1.9153
2013-09-18,2.8684
2013-09-19,0.0
2013-09-20,-5.1282
2013-09-23,3.7161999999999997
2013-09-24,7.7524
2013-09-25,1.3906
2013-09-26,2.266
2013-09-27,5.0146
2013-09-30,-6.4409
2013-10-01,7.8338
2013-10-02,-2.8068
2013-10-03,-5.436
2013-10-04,1.018
2013-10-07,-0.6224
2013-10-08,-6.6508
2013-10-09,2.4281
2013-10-10,6.3007
2013-10-11,3.0516
2013-10-14,-0.9112
2013-10-15,2.0115
2013-10-16,0.0563
2013-10-17,1.5203
2013-10-18,5.8791
2013-10-21,-0.681
2013-10-22,-4.0612
2013-10-23,-2.309
2013-10-24,-0.619
2013-10-25,2.7746
2013-10-28,-0.8264
2013-10-29,1.5556
2013-10-30,-2.0788
2013-10-31,-2.9050000000000002
2013-11-01,-3.9125
2013-11-04,1.1377
2013-11-05,-0.7105
2013-11-06,0.0
2013-11-07,-4.8301
2013-11-08,3.5714
2013-11-11,-7.1385
2013-11-12,-1.6938
2013-11-13,5.5666
2013-11-14,-4.7081
2013-11-15,1.054
2013-11-18,-0.3259
2013-11-19,-0.4578
2013-11-20,0.657
2013-11-21,0.3916
2013-11-22,-3.6411
2013-11-25,-0.4723
2013-11-26,-3.9322
2013-11-27,6.0692
2013-11-29,-0.7984
2013-12-02,-4.3595
2013-12-03,-5.54
2013-12-04,3.7862
2013-12-05,-0.8584
2013-12-06,0.0722
2013-12-09,1.0094
2013-12-10,-0.2855
2013-12-11,3.5075
2013-12-12,4.1494
2013-12-13,7.6361
2013-12-16,3.6397
2013-12-17,-3.6905
2013-12-18,-1.9159000000000002
2013-12-19,-2.9616
2013-12-20,2.9221
