ticker,ACBM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-18,0.0
2018-05-04,20.0
2018-05-09,3.3333
2018-05-17,0.0
2018-05-22,-1.9355
2018-08-02,1.9737
2018-09-05,-10.0
2018-09-12,-8.6022
2018-09-14,19.2157
2018-09-17,-1.3158
2018-09-18,-6.6667
2018-09-19,8.9286
2018-09-27,1.6393
2018-10-09,0.0
2018-10-15,0.0
2018-10-17,-11.2903
2018-10-22,12.7273
2018-10-24,12.9032
2018-10-29,1.4285999999999999
2018-10-31,-0.8451
2018-11-01,0.5682
2018-11-02,1.9774
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,-1.385
2018-11-08,1.4045
2018-11-09,-1.108
2018-11-12,1.6806999999999999
2018-11-13,-3.5813
2018-11-14,0.0
2018-11-15,3.4286
2018-11-16,0.2762
2018-11-19,0.0
2018-11-20,0.551
2018-11-21,0.0
2018-11-23,0.0
2018-11-26,0.8219
2018-11-27,0.5435
2018-11-28,-0.2703
2018-11-29,0.813
2018-11-30,0.0
2018-12-03,0.8065
2018-12-06,0.0
2018-12-10,-0.8
2018-12-12,-0.5376
2018-12-14,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,-2.7027
2018-12-24,-6.1111
2018-12-26,-11.2426
2018-12-27,31.6667
2018-12-28,-2.5316
2018-12-31,0.0
2019-01-03,2.8571
2019-01-04,-11.6162
2019-01-08,14.2857
2019-01-14,-7.5
2019-01-15,18.9189
2019-01-16,-9.0909
2019-01-18,7.5
2019-01-24,-1.1628
2019-01-25,0.0
2019-01-28,0.0
2019-01-29,11.7647
2019-01-31,2.1053
2019-02-04,0.0
2019-02-06,-16.4948
2019-02-07,-3.7037
2019-02-08,-6.4103
2019-02-11,9.589
2019-02-12,7.5
2019-02-13,-0.2326
2019-02-14,14.6853
2019-02-15,-18.6992
2019-02-19,0.0
2019-02-20,5.0
2019-02-21,0.0
2019-02-22,-4.7619
2019-02-25,-12.25
2019-02-26,13.9601
2019-02-27,8.75
2019-02-28,-3.908
2019-03-04,-11.4833
2019-03-05,16.2162
2019-03-06,0.9302
2019-03-07,-7.3733
2019-03-08,0.995
2019-03-11,-1.4778
2019-03-12,-12.5
2019-03-13,14.2857
2019-03-14,2.75
2019-03-15,0.0
2019-03-18,-1.7032
2019-03-20,-0.9901
2019-03-21,-3.75
2019-03-22,8.5714
2019-03-25,7.6555
2019-03-26,8.8889
2019-03-27,2.0408
2019-03-29,-2.2
2019-04-01,0.2045
2019-04-02,0.4082
