ticker,SAAX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-25,0.0
2012-09-28,-25.0
2012-11-13,0.0
2012-12-21,-33.3333
2013-10-02,300.0
2013-10-03,0.0
2013-10-28,0.0
2013-10-29,-12.5
2013-12-06,14.2857
2013-12-11,-12.5
2014-04-15,157.1429
2014-04-21,-46.6667
2014-04-23,0.0
2014-05-05,-12.5
2014-05-06,-14.2857
2014-05-14,30.0
2014-05-16,0.0
2014-05-23,-23.0769
2014-07-11,0.0
2014-07-31,-16.6667
2014-08-19,20.0
2014-09-30,-66.6667
2014-10-02,0.0
2014-10-08,-22.0
2014-11-19,92.3077
2014-11-26,66.6667
2014-12-01,40.0
2014-12-02,8.5714
2014-12-03,11.8421
2014-12-04,20.0
2014-12-05,-11.7647
2014-12-08,42.2222
2014-12-09,-11.7188
2014-12-10,0.0
2014-12-11,6.1947
2014-12-12,7.5
2014-12-16,-10.0775
2014-12-17,-6.8966
2014-12-18,1.8519
2014-12-19,0.0
2014-12-29,9.0909
2015-01-02,0.0
2015-01-06,8.3333
2015-01-07,15.3846
2015-01-09,-20.0
2015-01-27,-3.0
2015-01-28,-5.4983
2015-01-29,-1.8182
2015-02-06,0.0
2015-02-09,-3.7037
2015-02-10,0.0
2015-02-11,3.8462
2015-02-12,7.4074
2015-02-25,65.5172
2015-02-26,0.0
2015-03-04,-31.25
2015-03-05,0.0
2015-03-06,6.0606
2015-04-10,-28.5714
2015-04-17,10.0
2015-04-30,81.8182
2015-05-01,-4.0
2015-05-07,-37.5
2015-05-12,-13.3333
2015-05-13,2.8846
2015-05-15,0.0
2015-05-19,6.5421
2015-05-20,5.2632
2015-05-26,-28.3333
2015-05-28,-1.8605
2015-06-01,-2.8436
2015-06-10,0.0
2015-06-11,9.7561
2015-08-25,-11.1111
2015-08-28,-10.0
2015-09-01,11.1111
2015-09-02,-12.5
2015-09-08,2.8571
2015-09-09,0.0
2015-09-22,0.0
2015-09-23,-13.6111
2015-09-25,1.9293
2015-10-13,16.7192
2015-10-20,-13.5135
2015-11-06,15.625
2015-11-16,37.8378
2015-11-24,-43.1373
2015-12-07,-6.8966
2015-12-08,-7.4074
2015-12-11,-16.0
2015-12-18,38.0952
2015-12-30,-37.931
2016-01-04,55.5556
2016-01-06,-27.8571
2016-01-07,23.7624
2016-01-19,-15.2
2016-01-20,46.2264
2016-01-26,64.5161
2016-02-02,-58.4314
2016-03-21,-0.9434
2016-03-22,0.0
2016-04-05,-28.5714
2016-04-07,-6.6667
2016-04-08,0.0
2016-04-11,1.6518000000000002
2016-04-20,223.2323
2016-05-10,0.0
2016-05-11,-13.0435
2016-05-12,0.0
2016-05-23,-53.75
2016-05-27,8.1081
2016-06-01,0.0
2016-06-03,40.0
2016-07-15,-28.5714
2016-07-25,40.0
2016-08-19,28.5714
2016-08-22,-44.1667
2016-08-24,39.3035
2016-10-11,-28.5714
2016-10-12,-5.0
2016-10-24,0.0
2016-12-15,-21.0526
2017-01-31,-21.3333
2017-03-27,-15.2542
2017-05-04,-20.0
2017-06-22,0.0
2017-08-07,0.0
2017-10-04,-37.5
2017-10-09,0.0
2017-11-27,0.0
2018-01-11,0.0
2018-04-03,20.0
2019-01-16,-16.6667
2019-04-03,-20.0
2019-11-07,-62.5
2020-04-09,66.6667
2020-05-01,-30.0
2020-05-08,0.0
2020-06-08,-42.8571
2020-06-26,150.0
2020-07-07,0.0
2020-07-22,-39.0
