ticker,CYPJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-24,-82.3276
2006-12-29,1900.0
2007-01-03,13.3333
2007-01-05,0.0
2007-01-19,0.0
2007-02-05,-11.7647
2007-02-07,0.0
2007-02-08,-3.3333
2007-03-08,-31.0345
2007-03-13,25.0
2007-03-27,0.0
2007-04-16,-4.0
2007-04-19,20.8333
2007-04-20,0.0
2007-04-23,-3.4483
2007-04-24,0.0
2007-04-30,0.0
2007-05-03,-7.1429
2007-05-07,-23.0769
2007-05-08,7.5
2007-05-17,4.6512
2007-06-08,11.1111
2007-06-11,0.0
2007-06-13,0.0
2007-06-21,20.4
2007-06-25,-25.2492
2007-06-26,0.0
2007-06-27,4.4444
2007-07-02,-4.2553
2007-08-07,-28.8889
2007-09-07,25.0
2007-09-12,-5.0
2007-09-13,26.3158
2007-09-14,0.0
2007-09-18,-8.3333
2007-09-19,-9.0909
2007-09-25,0.0
2007-10-01,-15.0
2007-10-05,32.3529
2007-11-27,-22.2222
2007-11-28,22.8571
2008-02-05,-18.6047
2008-02-19,-42.2857
2008-03-19,0.0
2008-03-31,0.0
2008-04-01,3.9604
2008-04-03,-9.5238
2008-04-09,0.0
2008-04-22,-31.5789
2008-04-23,-15.3846
2008-04-24,27.2727
2008-04-25,-14.2857
2008-04-28,100.0
2008-04-29,-8.3333
2008-04-30,4.5455
2008-05-01,-6.087
2008-05-02,1.8519
2008-05-06,-1.8182
2008-05-09,-21.2963
2008-05-12,5.8824
2008-05-14,-33.3333
2008-05-15,50.0
2008-05-20,-5.5556
2008-06-19,5.8824
2008-06-24,0.0
2008-07-14,0.0
2008-07-18,-5.5556
2008-07-21,0.0
2008-07-22,-43.5294
2008-08-06,25.0
2008-08-18,-25.0
2008-08-22,0.0
2008-08-29,122.2222
2008-09-02,0.0
2008-09-03,0.0
2008-09-04,-60.0
2008-09-05,152.5
2008-09-08,-30.6931
2008-09-10,0.0
2008-09-15,7.1429
2008-09-22,6.6667
2008-09-26,-50.0
2008-09-29,-20.0
2008-09-30,212.5
2008-10-06,0.0
2008-10-10,1.0
2008-10-13,-0.9901
2008-10-29,-20.0
2008-10-30,6.25
2008-10-31,0.0
2008-11-07,-5.8824
2008-11-12,-68.75
2008-11-20,0.0
2008-11-21,0.0
2008-12-01,0.0
2008-12-16,-20.0
2008-12-18,-50.0
2008-12-19,100.0
2008-12-22,0.0
2008-12-23,-75.0
2008-12-29,60.0
2008-12-30,87.5
2008-12-31,0.0
2009-01-05,0.0
