ticker,TLMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-29,0.5
2020-02-03,-0.4975
2020-02-06,0.1
2020-02-07,0.7992
2020-02-11,-0.3964
2020-02-19,0.0995
2020-02-26,-0.1988
2020-02-28,-0.3984
2020-03-03,0.5
2020-03-04,0.0
2020-03-05,-0.4975
2020-03-10,0.0
2020-03-11,-0.3
2020-03-12,-0.3009
2020-03-16,-2.9175
2020-03-18,-2.9016
2020-03-19,1.3874
2020-03-20,-2.1053
2020-03-25,3.1183
2020-03-26,0.1043
2020-03-27,2.6042
2020-03-30,-0.5076
2020-04-02,0.5102
2020-04-06,0.0
2020-04-09,-1.2690000000000001
2020-04-14,0.7712
2020-04-16,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-27,-0.5102
2020-05-01,0.1026
2020-05-04,0.4098
2020-05-08,0.2551
2020-05-11,0.7634
2020-05-14,-0.9091
2020-05-15,-0.1019
2020-05-18,0.0
2020-05-22,-0.4082
2020-05-26,0.4098
2020-05-27,0.0
2020-05-29,1.0204
2020-06-01,0.0
2020-06-02,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.7071
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,-1.1033
2020-06-15,1.4199
2020-06-16,-0.3
2020-06-17,0.0
2020-06-18,0.1003
2020-06-22,0.2004
2020-06-23,0.3
2020-06-24,0.1994
2020-06-25,0.0
2020-06-29,0.8955
2020-06-30,-1.1834
2020-07-01,-0.1996
2020-07-02,0.0
2020-07-06,1.0
2020-07-07,-0.7921
2020-07-08,0.2994
2020-07-10,0.796
2020-07-13,2.7641
2020-07-14,-0.5764
2020-07-16,-1.256
2020-07-17,0.7828
2020-07-20,-0.2913
2020-07-21,1.1685
2020-07-22,-0.6737
2020-07-23,-1.0659
2020-07-24,1.763
2020-07-27,0.5775
2020-07-28,-0.3828
2020-07-29,5.5235
2020-07-30,-2.7765
2020-07-31,-2.1536
