ticker,BSPM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-06,-42.2857
2009-02-18,73.2673
2009-03-25,-42.2857
2009-04-08,73.2673
2009-04-16,-42.2857
2009-04-21,3.9604
2009-04-30,0.0
2009-05-05,-71.4286
2009-06-16,533.3333
2009-06-17,5.2632
2009-06-19,0.0
2009-06-22,0.0
2009-06-23,25.0
2009-06-24,-16.0
2009-06-26,-2.3810000000000002
2009-06-30,21.9512
2009-07-01,0.0
2009-07-02,-2.0
2009-07-06,22.449
2009-07-08,33.3333
2009-07-13,0.0
2009-07-14,0.0
2009-07-21,0.0
2009-07-24,0.0
2009-07-27,0.0
2009-07-28,0.0
2009-07-31,0.0
2009-08-03,0.0
2009-08-05,-12.5
2009-08-06,14.2857
2009-08-07,-0.0031
2009-08-11,0.0031
2009-08-12,-0.25
2009-08-13,-6.015
2009-08-14,6.6667
2009-08-17,-5.0
2009-08-19,-9.2105
2009-08-21,1.4493
2009-08-24,-22.8571
2009-08-25,-5.5556
2009-08-26,-1.9607999999999999
2009-08-27,-4.0
2009-08-28,-2.0833
2009-08-31,-4.6809
2009-09-01,-10.7143
2009-09-02,6.0
2009-09-03,-1.4151
2009-09-04,-2.8708
2009-09-08,2.4631
2009-09-09,0.9615
2009-09-10,0.0
2009-09-11,-5.2381
2009-09-14,-2.5126
2009-09-15,0.0
2009-09-16,-7.2165
2009-09-17,0.0
2009-09-18,-1.1111
2009-09-21,-2.809
2009-09-22,10.9827
2009-09-23,-5.7292
2009-09-24,-3.3149
2009-09-25,-2.8571
2009-09-28,1.1764999999999999
2009-09-29,-1.1628
2009-09-30,21.1765
2009-10-01,-3.8834999999999997
2009-10-02,1.0101
2009-10-05,5.5
2009-10-06,3.7915
2009-10-07,10.5023
2009-10-08,-2.4793
2009-10-09,0.0
2009-10-12,3.8136
2009-10-13,-3.6734999999999998
2009-10-14,1.2711999999999999
2009-10-15,1.2551999999999999
2009-10-16,0.4132
2009-10-19,-2.8807
2009-10-20,14.4068
2009-10-21,-4.4444
2009-10-22,0.7752
2009-10-23,-3.8462
2009-10-26,-0.4
2009-10-27,-4.8193
2009-10-28,-0.4219
2009-10-29,5.0847
2009-10-30,-6.0484
2009-11-02,-3.4335
2009-11-03,5.7778
2009-11-04,-3.3613
2009-11-05,6.5217
2009-11-06,9.3878
2009-11-09,4.8507
2009-11-10,-2.1352
2009-11-11,-0.3636
2009-11-12,-1.4599
2009-11-13,6.2963000000000005
2009-11-16,10.1045
2009-11-17,2.8481
