ticker,ATR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.4726
2000-01-04,1.0526
2000-01-05,6.25
2000-01-06,2.2059
2000-01-07,0.0
2000-01-10,-2.1583
2000-01-11,0.4902
2000-01-12,0.7317
2000-01-13,2.9055999999999997
2000-01-14,0.7059
2000-01-18,-1.4019
2000-01-19,0.237
2000-01-20,-1.8913
2000-01-21,-1.6867
2000-01-24,-2.9412000000000003
2000-01-25,-7.0707
2000-01-26,-1.087
2000-01-27,0.5495
2000-01-28,-2.1858
2000-01-31,-1.6760000000000002
2000-02-01,11.931799999999999
2000-02-02,-2.7919
2000-02-03,-1.8277
2000-02-04,-1.5957
2000-02-07,-2.7568
2000-02-08,1.9499
2000-02-09,4.918
2000-02-10,-3.125
2000-02-11,-4.3011
2000-02-14,5.618
2000-02-15,-1.8617
2000-02-16,-0.813
2000-02-17,1.0929
2000-02-18,1.8919000000000001
2000-02-22,3.4483
2000-02-23,-1.5385
2000-02-24,-4.6875
2000-02-25,1.9125999999999999
2000-02-28,2.9491
2000-02-29,-0.2604
2000-03-01,1.3054999999999999
2000-03-02,2.5773
2000-03-03,-0.2513
2000-03-06,-4.0302
2000-03-07,-6.8241
2000-03-08,1.4085
2000-03-09,1.6667
2000-03-10,-1.0929
2000-03-13,1.3812
2000-03-14,-2.7248
2000-03-15,1.4006
2000-03-16,2.7624
2000-03-17,5.914
2000-03-20,-1.5228000000000002
2000-03-21,4.8969000000000005
2000-03-22,-2.9484
2000-03-23,7.0886
2000-03-24,-2.8369
2000-03-27,-1.9465
2000-03-28,0.7444
2000-03-29,-0.9852
2000-03-30,3.4826
2000-03-31,2.6442
2000-04-03,-2.8103
2000-04-04,-3.6145
2000-04-05,-0.75
2000-04-06,4.534
2000-04-07,-1.6867
2000-04-10,1.4706000000000001
2000-04-11,1.4493
2000-04-12,-2.8571
2000-04-13,-2.2059
2000-04-14,-3.0075
2000-04-17,2.0672
2000-04-18,-0.2532
2000-04-19,-2.5381
2000-04-20,7.8125
2000-04-24,0.4831
2000-04-25,9.1346
2000-04-26,-4.4053
2000-04-27,0.0
2000-04-28,5.0691
2000-05-01,-1.5789
2000-05-02,-2.4554
2000-05-03,-1.6018
2000-05-04,0.9302
2000-05-05,0.4608
2000-05-08,-4.5872
2000-05-09,1.6827
2000-05-10,-1.4184
2000-05-11,4.3165
2000-05-12,0.4598
2000-05-15,0.2288
2000-05-16,0.2283
2000-05-17,-0.4556
2000-05-18,0.0
2000-05-19,0.4577
