ticker,KIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-26,-0.5
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,-0.2513
2013-08-02,-0.2519
2013-08-05,-0.2525
2013-08-06,-1.2658
2013-08-07,-0.7692
2013-08-08,-0.2584
2013-08-09,-4.1451
2013-08-12,-1.2973
2013-08-13,-1.4786000000000001
2013-08-14,2.8349
2013-08-15,-0.3784
2013-08-16,-0.5426
2013-08-19,-1.0911
2013-08-20,1.7650000000000001
2013-08-21,-2.439
2013-08-22,0.0
2013-08-23,-0.2222
2013-08-26,-0.3898
2013-08-27,-1.2297
2013-08-28,1.5846
2013-08-29,2.3955
2013-08-30,-0.4353
2013-09-03,0.1639
2013-09-04,-0.4364
2013-09-05,-1.3699
2013-09-06,1.2222
2013-09-09,-1.4819
2013-09-10,1.5598999999999998
2013-09-11,0.1097
2013-09-12,-1.2247
2013-09-13,0.3523
2013-09-16,-0.6081
2013-09-17,-1.5573000000000001
2013-09-18,2.8249
2013-09-19,-1.9231
2013-09-20,0.2241
2013-09-23,-1.8446
2013-09-24,0.0569
2013-09-25,-0.2277
2013-09-26,0.4564
2013-09-27,-0.5111
2013-09-30,-0.742
2013-10-01,1.1501000000000001
2013-10-02,-0.1706
2013-10-03,-0.0569
2013-10-04,1.8803
2013-10-07,0.1119
2013-10-08,0.0
2013-10-09,-1.3687
2013-10-10,0.6845
2013-10-11,-0.2266
2013-10-14,-0.3407
2013-10-15,-0.7977
2013-10-16,0.6893
2013-10-17,0.9127
2013-10-18,0.3392
2013-10-21,-0.3944
2013-10-22,0.0021
2013-10-23,0.1824
2013-10-24,0.1538
2013-10-25,0.3953
2013-10-28,-0.5615
2013-10-29,0.2823
2013-10-30,1.295
2013-10-31,-0.7226
2013-11-01,0.224
2013-11-04,0.1117
2013-11-05,1.2835
2013-11-06,0.4132
2013-11-07,-0.3315
2013-11-08,-1.9401000000000002
2013-11-11,1.7524
2013-11-12,-2.0
2013-11-13,-0.737
2013-11-14,1.8846
2013-11-15,-0.4137
2013-11-18,-0.9917
2013-11-19,-0.3411
2013-11-20,-0.2282
2013-11-21,-0.3431
2013-11-22,-0.459
2013-11-25,-0.9798
2013-11-26,1.0477
2013-11-27,0.0576
2013-11-29,1.209
2013-12-02,-0.3982
2013-12-03,0.1142
2013-12-04,-0.2282
2013-12-05,-0.0572
2013-12-06,2.9748
2013-12-09,-1.7778
2013-12-10,0.3959
2013-12-11,1.7465000000000002
