ticker,EVBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-26,-8.8889
2016-09-27,-2.439
2016-10-24,-10.0
2017-02-07,11.1111
2017-02-14,50.0
2017-02-16,-25.0
2017-02-17,22.2222
2017-02-21,1.8182
2017-02-22,5.3571
2017-02-23,30.5085
2017-02-24,5.1948
2017-02-27,-7.4074
2017-02-28,-6.6667
2017-03-01,10.0
2017-03-02,-0.9091
2017-03-03,3.5387
2017-03-06,-6.3924
2017-03-07,-10.0744
2017-03-08,16.4662
2017-03-09,36.8625
2017-03-10,4.5283
2017-03-13,-22.3827
2017-03-14,-23.7064
2017-03-15,9.7352
2017-03-16,1.3889
2017-03-17,14.9315
2017-03-20,2.3838
2017-03-21,7.1013
2017-03-22,16.3043
2017-03-23,13.0841
2017-03-24,-15.7025
2017-03-27,-40.1961
2017-03-28,14.7541
2017-03-29,21.4286
2017-03-30,4.7059
2017-03-31,3.1461
2017-04-03,4.6841
2017-04-04,0.9365
2017-04-05,3.0928
2017-04-06,4.0
2017-04-07,2.8846
2017-04-10,0.0
2017-04-11,2.8037
2017-04-12,3.6364
2017-04-13,0.8772
2017-04-17,-22.6087
2017-04-18,0.0
2017-04-19,5.618
2017-04-20,4.2553
2017-04-21,2.0408
2017-04-24,-2.0
2017-04-25,-6.1224
2017-04-26,-24.0217
2017-04-27,-30.7582
2017-04-28,7.438
2017-05-01,-21.6346
2017-05-02,-48.4663
2017-05-03,-13.3333
2017-05-04,32.4176
2017-05-05,4.1494
2017-05-08,-10.3586
2017-05-09,-11.1111
2017-05-10,-15.0
2017-05-11,17.647100000000002
2017-05-12,-12.5
2017-05-15,2.8571
2017-05-16,0.0
2017-05-17,-11.1111
2017-05-18,10.0
2017-05-19,7.3153
2017-05-22,-9.9934
2017-05-23,5.8824
2017-05-24,0.0
2017-05-25,-5.5556
2017-05-26,-2.9412000000000003
2017-05-30,-6.0606
2017-05-31,5.4032
2017-06-01,-8.1867
2017-06-02,-11.6667
2017-06-05,-23.0189
2017-06-06,7.7451
2017-06-07,-20.8371
2017-06-08,-2.2989
2017-06-09,-8.6
2017-06-12,-22.8987
2017-06-13,-9.015
2017-06-14,-11.0716
2017-06-15,-0.9615
2017-06-16,-2.0833
2017-06-19,25.5319
2017-06-20,27.1186
2017-06-21,24.0
2017-06-22,88.172
2017-06-23,-14.9429
2017-06-26,-18.0383
2017-06-27,18.0328
2017-06-28,4.1667
2017-06-29,-4.0
2017-06-30,4.1667
2017-07-03,-6.6667
