ticker,CURO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-07,1.4285999999999999
2017-12-08,0.0
2017-12-11,-2.5352
2017-12-12,-0.9393
2017-12-13,0.8023
2017-12-14,1.6643
2017-12-15,-0.3559
2017-12-18,0.5
2017-12-19,-0.4264
2017-12-20,0.1428
2017-12-21,0.0
2017-12-22,0.0713
2017-12-26,1.3533
2017-12-27,-1.1244
2017-12-28,0.0711
2017-12-29,0.0
2018-01-02,-0.2131
2018-01-03,-0.2135
2018-01-04,0.7846
2018-01-05,2.5478
2018-01-08,-1.5183
2018-01-09,1.1212
2018-01-10,-1.0395
2018-01-11,3.3613
2018-01-12,4.8103
2018-01-16,3.2321
2018-01-17,-0.1252
2018-01-18,0.5643
2018-01-19,1.2469000000000001
2018-01-22,0.431
2018-01-23,0.5518
2018-01-24,0.4878
2018-01-25,-1.2136
2018-01-26,0.1843
2018-01-29,4.7823
2018-01-30,-1.5213999999999999
2018-01-31,-0.4159
2018-02-01,-0.7757
2018-02-02,3.4877000000000002
2018-02-05,-0.4067
2018-02-06,-1.2835
2018-02-07,2.2459
2018-02-08,-2.5434
2018-02-09,-1.4828000000000001
2018-02-12,3.7929
2018-02-13,-0.8121
2018-02-14,2.3392
2018-02-15,0.4
2018-02-16,-0.7968
2018-02-20,-1.3195999999999999
2018-02-21,1.1047
2018-02-22,-0.9201
2018-02-23,0.8706
2018-02-26,-0.748
2018-02-27,-0.3478
2018-02-28,-2.5015
2018-03-01,1.432
2018-03-02,2.2353
2018-03-05,-0.1726
2018-03-06,-0.3458
2018-03-07,-0.0578
2018-03-08,-0.1736
2018-03-09,0.9275
2018-03-12,-0.5744
2018-03-13,-1.5598
2018-03-14,0.939
2018-03-15,-2.7326
2018-03-16,0.7173
2018-03-19,2.0178
2018-03-20,0.6399
2018-03-21,0.0
2018-03-22,-1.7341
2018-03-23,-0.5294
2018-03-26,1.0053
2018-03-27,0.5855
2018-03-28,0.0
2018-03-29,0.1164
2018-04-02,-1.1628
2018-04-03,2.0
2018-04-04,-0.519
2018-04-05,0.2319
2018-04-06,-0.9254
2018-04-09,0.6421
2018-04-10,2.2622
2018-04-11,5.7856
2018-04-12,-0.4826
2018-04-13,-3.0172
2018-04-16,-1.3889
2018-04-17,5.7465
2018-04-18,1.2254
2018-04-19,2.7895
2018-04-20,1.6897
2018-04-23,-0.6042
2018-04-24,-0.6586
2018-04-25,1.2749
2018-04-26,0.5539
2018-04-27,5.9089
2018-04-30,3.4043
