ticker,GPK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-12,-0.2439
2003-08-13,-2.445
2003-08-14,-2.2556
2003-08-15,2.3077
2003-08-18,-1.7544
2003-08-19,-1.2755
2003-08-20,0.7752
2003-08-21,2.0513
2003-08-22,-0.7538
2003-08-25,1.2658
2003-08-26,-1.0
2003-08-27,-0.2525
2003-08-28,-1.0127
2003-08-29,2.3018
2003-09-02,4.25
2003-09-03,-1.6787
2003-09-04,-1.4634
2003-09-05,-0.9901
2003-09-08,0.0
2003-09-09,-0.25
2003-09-10,-0.2506
2003-09-11,0.5025
2003-09-12,-0.75
2003-09-15,-0.5038
2003-09-16,2.5316
2003-09-17,1.2346
2003-09-18,1.7073
2003-09-19,3.5971
2003-09-22,3.0093
2003-09-23,1.3483
2003-09-24,2.439
2003-09-25,8.2251
2003-09-26,0.4
2003-09-29,-0.3984
2003-09-30,1.2
2003-10-01,-0.1976
2003-10-02,-1.3860999999999999
2003-10-03,-4.2169
2003-10-06,1.0482
2003-10-07,-4.5643
2003-10-08,1.9565000000000001
2003-10-09,-1.2793
2003-10-10,0.6479
2003-10-13,-0.2146
2003-10-14,-0.6452
2003-10-15,-1.9481000000000002
2003-10-16,-3.9735
2003-10-17,4.1379
2003-10-20,-1.3245
2003-10-21,0.6711
2003-10-22,-0.2222
2003-10-23,-2.0045
2003-10-24,-11.3636
2003-10-27,-0.7692
2003-10-28,1.5504
2003-10-29,1.0178
2003-10-30,-1.5112999999999999
2003-10-31,-1.2788
2003-11-03,2.0725
2003-11-04,-1.7766
2003-11-05,-0.5168
2003-11-06,-1.8182
2003-11-07,-0.7937
2003-11-10,1.3333
2003-11-11,-1.3158
2003-11-12,-1.3333
2003-11-13,-4.0541
2003-11-14,-0.8451
2003-11-17,0.5682
2003-11-18,4.5198
2003-11-19,-5.4054
2003-11-20,2.2857
2003-11-21,-1.9553
2003-11-24,3.9886
2003-11-25,1.0959
2003-11-26,-2.439
2003-11-28,-1.6667
2003-12-01,4.2373
2003-12-02,0.271
2003-12-03,0.0
2003-12-04,-3.2432
2003-12-05,1.6760000000000002
2003-12-08,3.8462
2003-12-09,0.2646
2003-12-10,-1.0554
2003-12-11,-1.0667
2003-12-12,10.2426
2003-12-15,-0.978
2003-12-16,0.0
2003-12-17,-1.4815
2003-12-18,1.7544
2003-12-19,0.2463
2003-12-22,0.9828
2003-12-23,-0.4866
2003-12-24,-1.2225
2003-12-26,6.4356
2003-12-29,-0.9302
2003-12-30,-2.3474
